,Unnamed: 0,Review Title,Review Text,Score,Class
29,29,Just okay,"This is going to be a long, and tough to write review...First, the pros+ Amazing performance, SD860 works like a charm+ Screen. The LCD panel used is very premium, and has very deep blacks, almost comparable to an AMOLED+ charging. It is fast, and power supply also supports other quick charging setups in samsung amd other phones... (OnePlus  warp charging not supported though)+ 3.5mm jackCons:- camera: even with Gcam, the 48MP camera is mediocre at best. 2MP macro camera is waste. Wi...",3,Positive
30,30,Nice product,"I like the phone, very good hardware. The design on the back looks bad, ngl, but that part is covered by my case, so I'm not complaining. I don't like the software, never liked MIUI, I never intended to use it. My intention was to install a stock android custom rom, which I did, and I'm loving my phone now.",4,Positive
31,31,Good,Writing this review helpful for the Poco x3 pro buyer here.I personally used it for 10days.Pros:- Powerful chip 860Soc performance is great.Stereo sound clarity is very good.Network connectivity is good.As heard it's not that bulky but weight balance is very good.Fast charging is nice in 33watt charger.Battery manage 1day with 4 hours online classes.ROM management is proper..Look wise ok.Cons:- Average Camera. Plastic back.Lacking behind in terms of Super Amoled display.Phone i...,3,Positive
32,32,Great product,"Awesome phone for gaming performance. Super nice camera quality. Back panel looks is superb. Overall performance best. If you buy this mobile then I suggest to you, you can definitely go to buy this. This phone is best for me. I love it.❤️",5,Positive
33,33,Wonderful,"Gaming is too good on this phone. I was getting constant 85 to 90 fps in 90 fps mode in pubg(patched). Awesome performance for this price.MIUI is like itself , you can turn off ads. I turned off every service and unticked every user agreement of miui except few that are needed and turned off data access for getapps and some other and i haven't got a single ads..btw UI has some bugs  , lags and stutter . miui is just average.Display is good for price .. super responsive and fast.(if display...",3,Positive
34,34,Delightful,"Reviewing after 5 months of usageCamera: 3/5Display: 4/5Battery:4/5Performance and gaming: 5/5Overall a good product, if you are someone who love to play games or like super fast phone then go for it, People who take pictures alot plz don't buy",3,Positive
35,35,Don't waste your money,Upgrade after redmi note 7 proI was going for samsung but I wanted performance oriented phone so I decided to buy itPros:Performance 💥💥💥Display is goodSpeaker is better than my previous phoneRead and write speed is insaneI can easily notice difference between 120 hz  and 60hzResponse rate is excellent 😊Cons:Device exceeds 40C after normal use ( I think it's due to miui can be fixed after update)Camera quality is 🤢.My redmi note 7 pro has better camera.(It can be improved using...,4,Positive
36,36,Really Nice,In gaming perspective u will see stunning visuals in every game as it's meant to do so ! For camera if you click in pro mode you'll get 22mb images and you will be amazed how good the camera is but then a subtle reminder will tell you that you bought it for Snapdragon 860👹Front camera makes your skin tone lighter and doesn't give natural skin tone(had to say this)!!,4,Positive
37,37,Worth every penny,"Superb poco x3pro, I order on 4 May got my order 8 May. I was worried coz cash on delivery is not available on my location pin no. But thanks to flipkart deliver my poco x3pro safe I am happy. Poco x3pro got a super processor run every thing smooth including high fps games. This is my one day use review I will update it later if I get any problem hope fully not  👍",5,Positive
38,38,Great product,Overall a good phone with a best processor in this price segment Nice displayDecent camera(It is not a highlight of this phone) Sndp 860 the beast🔥🔥🔥33 W fast chargerThe UI is little laggy but it will be updated All over a nice and a must buy phone,4,Positive
39,39,Super!,"Starting with design,i really like the design(my personal opinion)BUILD QUALITY -on front u get CG 6,back u get plastic which quality would have been done better DISPLAY - No issues with the display, that 120hz really amazing.CAMERA - At this price 48mp is not enough,but images are decent and other 3 are not bad and videos are stable u can go up-to 4k 30fps.CHARGING - U get 33 w charger which does it job good. It takes less than an hour to chargerSPEAKERS -speakers are loud and crisp but...",4,Positive
40,40,Simply awesome,"Right time delivery and my pocco x3 pro 6/128 awesome smartphone and camera good , speaker sound very good, and gaming experience very very good",5,Positive
41,41,Delightful,"It's again a Superb Spec phone as POCO F1. Everything is speedy and great so far. Facing bit bugs on MIUI though. Dark mode issues etc. If MIUI cares for a smooth UI experience, it'll be best phone at it's price. A Pro advice :- DON'T UPDATE MIUI PHONES, IF YOU WANT TO MAKE IT LAST LONG. 😃",4,Positive
42,42,Very Good,Camera is not bad. Macro mode works well. Poco should update some features like call recording. Call recording facility is very poor. Call recording quality also very poor. U can't record all calls. You can only record numbers which are not saved in your contacts. For saved contacts you need to add each  number one by one manually. Which is very horrible. I have used redmi note 8pro and 9pro. But some features are missing in Poco x3 pro. I wish poco should modify in it's next update. And I wi...,3,Positive
43,43,Worth the money,"I Was using Xiaomi Mi A1 form last 4 years. Experience of switching from old tech to this Powerful new gen tech Machine is on whole new level and i am loving it so much❤️I sacrificed better Camera, Amoled Display & 5G in this price range and picked the performance of SD 860⚡ Thankyou Filpkart !Thankyou Poco !",5,Positive
44,44,Good quality product,Best for gaming and everything else My experience with is good The camera of this device is too good 😊,4,Positive
45,45,Good choice,Poco X3 Pro need to optimise battery  otherwise the performance is very good and excellent I am using this mobile 10 days the camera quality is comparatively redmi note 9 Pro is equal when playing pubg almost 4 hours play back and very very important this is value for money,5,Positive
46,46,Best in the market!,Just get this !!! You may be disappointed by miui like me that to after just 2daysJust buy this unlock Bootloader install twrp and flash a custom rom at that level this is the best phone out there with a custom rom!!! For camera install gcam with a proper xml and it takes a lot better images than stock rom camera!,5,Positive
47,47,Good choice,Superb nice good very good aadipoli awesome wonderful,5,Positive
48,48,Terrific,"Awesome phone, just loved it mind-blowing performance and the camera is also great and the battery backup is also great Over all best deal in this budget. Thanks Flipkart Really loved it.",5,Positive
49,49,Nice product,"I've used Poco F1📱 for 2 years and upgraded to Poco X3 pro(6gb RAM) 📱 and this is my review after using for 5 days..🔹performance is good (smooth 120hz), 🔹Gaming is good for price, 🔹Camera is average (go for Redmi_Note_10_pro_max if camera is your priority) 🔹 Battery backup is good,🔹 haptic feedback (vibration) is not satisfactory,🔹Speaker volume is Ok,🔹 Phone size is big and somewhat heavy (215g)I will update my review later.",3,Positive
50,50,Wonderful,"Been using this phone for over a week now, and after receiving the phone i immediately update it to 12.5, and some people say it would decrease the performance but as far i have experienced the performance is top notch for the price range, what more do you want... Some say it heat too much, but according to my usage i haven't seen the issue regarding overheat. I played BGMI in smooth extreme, so far it didn't cause any heat, just little bit warm, that's common for every device. I played Aspha...",4,Positive
51,51,best at this price,"Pros - Runs almost all heavy games smoothLoud and clear speakersSmooth display, good colorsHuge batteryQuick reliable fingerprint sensorWater resistant to some extentCons - Big and heavy almost like a brick. If you hit some one with this on the head they may die, which you can count as a pro rather than a con is some situations.",4,Positive
52,52,Nice product,Perfect smooth for for this prize range.All apps and PUBG works ultra smooth without lagingCamera is Good but not as good as expected (Ok..this is a Gaming Phone) Normal use got 26 hr battery life..Overall satisfied..Value for money..,4,Positive
53,53,Best in the market!,"Display is good I am using this phone from 20 days nd this is best gaming phone under 20000, the processor 860 doing it's work well, battery is a downgrade for this phone cuz it's drain faster than any other else , maybe it's because of new miui 12.5 update. I hope this problem maybe fix in future. Nd to be honest I think miui is the only reason which stopping it from shining in the sky . Otherwise this smartphone is a beast . It is a worth of money",3,Positive
54,54,Fabulous!,"VERY HAPPY WITH THIS PHONE,THIS PHONE WONT DISAPPOINT YOU SOME PROS AND CONS ABOUT THE PHONE                                                             Pros- ONE THE BEST PROCESSOR IN THE BUDGET.CAMERA IS GOOD IF U KNOW HOW TO USE IT IN A PROPER WAY ,BATTERY TOP NOTCH,SCREEN SMOOTHER THAN BUTTER AND BATTERY WONT AFFECT TOO MUCH AND YES GOO! For it                                                                     😀 THERE ARE NO CONS BUT DON’T UPDATE THE PHONE THATS ALL",4,Positive
55,55,Wonderful,Phone is very good for gaming. I just love it. But you have to sacrifice 5G. And if you want a all rounder phone then you should go for other options.And if you happy with the lil heavy weight and no 5G and  you want beast performance under 20 thousands then must gor for this phone. ✌️,4,Positive
56,56,Nice product,"Very nice phone extra fast. very powerful processor, nice build well finished. Powerful stereo speakers. ClearBut. Xiomi made it worst. They made very poor ui it cannot use all the power of processor.. Poor camera ui. Xiomi must work on it. Powerful Battery 8 hrs BGMI play. Full charge in 1 hr. overall very Nice phone.",3,Positive
57,57,Just wow!,Nice phone Performance is good Battery is mediumCamera is also averageIf u are thinking to buy this phone for gaming and normal usage its the best,4,Positive
58,58,Delightful,Excellent phone for daily usage and gaming. Cons It heat slightly when chargingRear camera does not click good pics in dim lightNo 5g There are many stock apps like mi pay etc which are uselessNo amoledPros Sd 860 120hz33 watt fast charging 3mm jack Notification ledFront camera impressive Stereo speaker Under 20k best buy if 5g is not your priority,4,Positive
59,59,Great product,Poco X3 Pro More ⚡Power to youUnbeatable Performance at this Price range❣️Camera ~ Good Imaging ExperienceFHD+ Display Protection ~ Corning Gorilla 6Refresh Rate ~ 120Hz Smart Display (Reality Flow) Touch Sampling Rate ~ 240HzExcellent 5160 mAh Battery Life33W Superfast Charging Speed🔋⚡Charging Time ~ 1hr 10min LiquidCool Plus Technology ~ Cooldown To Fast 🚴三Super-fast processor ~ Qualcomm Snapdragon 860 (7nm)CPU ~ Octa core 2.96 GHzGPU ~ Adreno 6401)📷Camera 4/52)🔋Batter...,5,Positive
60,60,Great product,The greatest mobile phone ever with super performance as a gaming phone weight is not that heavy like youtubers said . Camera is good quality more than realme 7 best mobile under 20k,5,Positive
61,61,Wonderful,Im using this phone from a month and here is my honest reviewFirst of all i bought this phone not for gaming but for future proofing myself cause it comes with SD860 processor . For gamers no doubt this phone is awesome but im giving my review not based on gaming or performance . I saw lots of people in review section complaining about camera quality.  Personally i found the cameras Excellent . Heres my detailed review for camera 1 . Normal lense(48MP) (wide) - 5/5 Pictures are sharp det...,2,Negative
62,62,Good choice,Mainly as we know it's a device which totally based on proformance no doubt it's performance is good enough.. Battery life is not as expected it Only get discharged in 5-6 hours in gaming mode.. I'm using it from past 2days..these are things which I mainly felt ☺☺.... Camera is also good as it have pro features which gaves u a pic in hdr mode😇.... Charging is also fast ( full battery charged in 1 hour approx)  weightwise it's not so heavy looks are also cool specially that punchhole camera😂😂,3,Positive
63,63,Worth the money,"Go for it if you game, you can call it a gaming phone under 20k, only for gaming nothing else it has got a decent battery life with avg cameras and (2/5) rated display, well we cannot expect amoled with this sd 860 soc in this price  range and there are some glitches with ui, hope they will be fixed in an update and yeah go for it if you need a performance beast at this price range... And I got it for 17k so worth it",4,Positive
64,64,Super!,"Quite amazing product. This is very impressive in this price segment. All aspects are good and I dont even care about  the screen whether its Amoled or IPS and this phone's screen is very nice and I like it.Before buying this phone, I heard a lot about the Battery Charging time and Camera, to be honest, EXCELLENT on both of the segment. I really didn't expect from POCO X series. I am proud to be a member of poco family.And also a big thanks to Flipkart team, its you that made us smile alw...",5,Positive
65,65,Best in the market!,Phone is nice but camera and display quality is average i have been using redmi k20 pro before I don't find this device as good as redmi k20 pro in any thing if you are a gamer you will like it but if you are photoholic then you will not like this device,3,Positive
66,66,Good quality product,Best smartphone under 20000And best processor - Snapdragon 860Camera is not goodBut value for moneyAnd best battery backupAnd good display,4,Positive
67,67,Wonderful,"Upgraded from my old poco f1 almost same, sound better performance faster and display is bigger than poco f1, camera is average but gets the job done. 120 hz is smooth but consumes more battery. I'm satisfied one more thing dual stereo speakers are loud but the background vibrates little bit",4,Positive
68,68,Simply awesome,Worthy and most noticeable thing in this smartphone is u r getting Snapdragon 860 with smooth performance in between 16000 INR whatever things  need in a  smartphone  u r getting all that in one phone .... Drawback- there is no 5G connectivity if u r searching a 5 g phone then don't go with this and one more missing thing in this i.e amoled display,4,Positive
69,69,dont be andh bhakt read it thoroughly..,1 week earlier i broke my rog 2 and after that i got the display price for 16000 then i thought i should get new phone instead of repairing the display..and i went for this device..now i will explain the whole experience that has been changed from this rog to this device...1. It doesnt lies anywhere rog devices..the experience is really worst in miui...its not at all worth it lots of crashes and shuttering as well.2. For 19000 its a good choice but realme x7 max you can get it for 25000 an...,2,Negative
70,70,Good choice,There is some bugs here and there in poco launcher however extremely good phone at this price point.. sound is awesome however the back panel vibration is strong while listening to music..performance was amazing as 860 is doing its work.. although the display is not amoled its still looks gorgeous in hdr content and 120 hz refresh rate is cherry on top.. BGMI runs at 90 fps constant after using the patch with hdr ultra settings. Mobile legends run at 60 in ultra settings..genshin impact r...,4,Positive
71,71,Good quality product,Overall phone is good. But camera quality is not that much good it's like decent camera. If you want to buy a camera centric phone is not for you. And coming to the screen its not Amoled display but quality of screen is very good. I use this phone past 45 days and it the best phone under 20000. You can blindly believe me and purchase this phone if you want to purchase.,3,Positive
72,72,Wonderful,mobile is very good it is worth the money camera is also very good May not play the game otherwise its processor is a plus point for me,4,Positive
73,73,Nice product,It's the best phone i have ever purchased. I like this product very much the battery backup is so amazing . And it is the gaming beast best phone for gaming under this range. But Charging speed is little bit slow but no problem.,5,Positive
74,74,Super!,"Good phone. Best performance we can get for this price. In number camera is bad. But the ISP of SD860 gives better output and natural colours. The photos can't be zoomed as 64/108 MP but the photo we get have enough colour and details. This phone has the best ips lcd screen I have ever used, without comparing to amoled It has good colours and the refresh rate works smooth not like other smart phone in this price range. Many people say that MIUI is tough UI, full of bugs and glitches. But t...",4,Positive
75,75,Best in the market!,It's awesome.. I really loved it... Macro camera is so awesome... But I was not much happy with the normal camera of 48mp...but overall other performance.. Such as battery.. Gaming.. Calling nd what's else all its awesome... I really loved it very much,4,Positive
76,76,Very Good,If you play a lot of games then you can't get a better phone then this it works smoothly and the camera is pretty good too the only thing I don't like is that people say it overheats but it doesn't the highest it goes is 52-53°c which is stable but the temperature rises really quickly the liquid cooling is good though it decrease it's temperature under 2-3 minutes the biggest problem I think it has is that the back vibrates a lot whenever you are playing songs at high volume other than that t...,4,Positive
77,77,Good quality product,Best mobile phone under 20k. Paradise for gamers. Camera is of decent quality. But perfomance is mind blowing.. You can opt this beast under budget,5,Positive
78,78,Really Nice,POCO X3 Pro is really a good device and value for money. This device performance is awesome software wise. Camera quality is also nice.Overall I would say someone will not regret after buying this device.Flipkart is offering EMI on Debit card for payment which is really good. But the old phone exchange system is not good because flipkart doesn't take the phone and provide discount as they promise. It happened with me that i have to pay the amount at the time of collecting my new phone.,4,Positive
79,79,Good choice,"A review with 1 month of usage.,I have upgraded from poco f1 with comparison that this x3 pro has bad Cameras, very lag UI, slow, no miui phone and message application.The gaming performance is only good and seems same to 845 processor.The battery backup is very good coming to its cons.It doesn't seems a great update to poco f1.Its very huge and takes a lot of time to get used to it, i haven't yet.To me the poco f1 is a champ compared to this.",3,Positive
80,80,Worth every penny,"Pros...Phenomenal performanceBig 120Hz displayLong-lasting batteryCons....Big & bulkyNo 5GAverage cameraThe Poco X3 Pro is for Android gamers or power users on a budget, with near-flagship processing power in one of the cheapest phones on the market. It's big, it's bulky, and the camera's not great - but it’s still astonishing that Xiaomi has pulled this off.The Poco X3 Pro requires no introduction. It is one of the most anticipated mid-range smartphones of this year so far. After al...",5,Positive
81,81,Super!,One of the best Android phones to use giving you complete value for money along with an unbeatable experience as an overall device. Well done POCO again!,5,Positive
82,82,Pretty good,After 1 week of usage. Performance wise its a awesome phone under 19 K. Camera quality is average. Battery backup is good. Processor is pretty awesome. Little bit heavy while using 1 hand. Overall a good phone.,4,Positive
83,83,Super!,Nice product 😍😍😍🤩I liked it and fastest delivery. Value for money.Best performance with great battery backup. Outstanding picture quality.  I will suggest this for everyone 🥰😍🤩,5,Positive
84,84,Wonderful,"I am writing the review after watching the mobile with concern for 2 days . The battery is good . Though it was draining for the high quality camera, I have turned it into standard. Picture quality is good and lovable. Display is good . The drawback to me is that it is bulky in size and heavy to keep for hours in hand. Must buy if you want a smooth with good processor and camera and the battery ... Under 20k it is best to buy . It gives a decent look overall it is my first mobile as I bought...",4,Positive
85,85,Terrific,(1)  Gamer's pov -----------      This is the best f*ucking phone for u if u wanna play heavy games like Bgmi Genshin impact etc under the price tag of 20k inr. I have played Bgmi continuously for hours and it ran super smooth maintaining about 58-60 fps constantly in ace tier classics. In costoms there was a little framedrop but I think that's not a problem. Genshin impact gave above 50 fps on lower graphics settings but if u bump up the graphics to max possible quality then u will get aroun...,5,Positive
86,86,Terrific purchase,Guys  believe  me this phone  is a beast .Maximum  Youtubers  say miui is full bugsAnd there are  bugs but for low performance devices butNot for this beast About  camera .....Some say poco x3 pro camera  is not goodDude  it is Sony imx 582  sensor  same as mi 11xAnd there are lots of AI which makes  camera better Gaming... Its runs BGMI smoothly  constant 60 fpsSmooth 60fpsHDR        60fpsSame graphics  settings  as iPhone......Performance......I have done  a speed  test  w...,1,Negative
87,87,Awesome,This is the true successor of poco F1... Poco has truly created History in Indian Smartphone market with this legendary Poco X3 Pro... Pros:1. Qualcomm Snapdragon 860 SoC which is the most powerful Soc in this price Segment. This is a true budget gaming smartphone as you can any Android games in 60 hz with the powerful Adreno 640 GPU2. UFS 3. 1 compatible super high speed 128 GB internal Storage which is the latest cutting edge technology in mobile storage in the entire smartphone mar...,5,Positive
88,88,Highly recommended,"AFTER 2 MONTHS USAGE REVIEWEvery aspect of phone(Performance, Battery,Display,Audio call Quality,stereo sound) is great . Except Camera performancePerformance: One of the strong area that actually compete on 35k price range phones. Liquid cooling do maintain the performance Of the phone almost everytime same without Break a sweatBattery: Battery lost long on daily basis almost one and half days. When used on heavy usage apps like CoD, NFS It mange to Run for more than Half Day and 33W c...",2,Negative
89,89,Excellent,"The Poco X3 Pro has set yet another benchmark in the mid-range segment with its class-leading performance. The phone offers lag-free performance, which is what gaming aficionados mostly prefer. The vibrant stereo speakers and the high-refresh-rate display just adds to that fluid experience. But while the phone yields a power-packed performance, the cost-cutting factor is clearly visible in the display and camera segment. If you are looking for a complete package, then Poco X3 Pro's dull displ...",3,Positive
90,90,Simply awesome,Performance is beast as expectedCamera is decent in daylight conditions ( lots of Features ) Battery life is amazing Display is nice ( can't compare with amoled) still it's nice and 120 hz is pretty awesome and 240 hz touch sampling rate is amazingAudio quality is mesmerizing due to stereo speakersBut it vibrates when played loud. Charging speed is also good 0 to 100 in approx 80 mins No one waits the battery to go to 0 So within 1 hour it goes from 20 to 100..Don't worry about ...,4,Positive
91,91,Terrific purchase,Very nice phone at this price .. totally impressive 😍 taken picture from this camera.. you can see and guess yourself..I would like to recommend all to buy this phone.. specially for gaming performance 🔥🔥,5,Positive
92,92,Pretty good,"It's been more than 15 days I'm using this new poco X3 pro there is no issues it's well efficient with great value of money... If you're looking for a gaming phone it's totally good cause I used to play pubg, call of duty & minecraft and still find no issues.. camera is more than sufficient with some new features.. it has 860 Snapdragon so the processor is too good i don't think you will find this much but it has LCD screen so I don't go for dark modes can cause heating issues still I didn't ...",4,Positive
93,93,Value-for-money,"I have been using this device for 10 days check my detailed review below:Pros: Performance it's the best you can get, Camera: Main camera is a decent one takes good crisp shot on day light but the selfi camera struggles a lot in indoor and low light conditions.Battery: It will last a day in heavy usageCharging speed: It was fast but not as fast as they advertised it will take more than an hour to fully charge around 80 min.Display: It's a pretty good panel excellent in indoor and usable ...",4,Positive
94,94,Waste of money!,Over all mobile is good but some problem is there1) google diler is not good . And not showing block calls. And we can't do call recording on google diler. And it's a very big problem. 2) massaging app is not good. It's not showing block msg.Xiaomi should work on this very seriously. 3) proximity sensor not working properly.,3,Positive
95,95,Great product,"During charging gets little heat. But, a good phone in a decent price. Charging us very fast. Charge remains a full day if you are not a heavy gamer. Camera in daylight is excellent but in low light needs more improvement. Although we should not expect everything in such low price. Over all I am happy having this phone. No regret.",4,Positive
96,96,Pretty good,"Writing this review after 15 days of usage. Performance is top notch, no lag nothing of whatsoever. Battery is more than decent.. Doesn't heat much.. Battery backup is quiet impressive even with 120Hzs.Camera is decent.. Charging speed is excellentOverall the device is worth every penny.",5,Positive
