,Unnamed: 0,sentence_reviews,Score,Class
112,112, This phone is best under 20k,3,Positive
113,113,Absolutely worth of money,5,Positive
114,114,It's processor is amazing which results in a smooth experience,5,Positive
115,115, Totally justifies its cost,1,Negative
116,116, Battery is powerful,5,Positive
117,117, Camera works fine,4,Positive
118,118, It's performance is best thanks to its processor,4,Positive
119,119, Extra 3k to get this processor is totally worth it,5,Positive
120,120, I loved it hopefully you will do too,5,Positive
121,121,excellent mobile,5,Positive
122,122, No lags,4,Positive
123,123,smooth display with 120 hz,5,Positive
124,124, display is not amoled ,1,Negative
125,125, the screen quality is amazing,5,Positive
126,126, battery performance is superb and charging speed is also great,5,Positive
127,127, camera is good,4,Positive
128,128, photos have lot of details ,3,Positive
129,129, video recording need to improve,3,Positive
130,130, stereo speakers are excellent,5,Positive
131,131,writing after one week1,1,Negative
132,132, Performance is best but little bit stuck due to MIUI 12,3,Positive
133,133,no matter it is 860 or 888 or 8888888 of 2050 if there is MIUI get ready for lag,1,Negative
134,134, Camera is not upto mark if you don't want to be insulted don't open it infront of others because people will judge by its price,2,Negative
135,135, Display is good but brightness is not enough,3,Positive
136,136, previously i have redmi note 7 pro and that is brighter than this but this screen quality is good compare to note 7 pro 4,4,Positive
137,137,speaker is best just bes,3,Positive
138,138,Phone processor is very good ,5,Positive
139,139, speaker is very bad and aslo phone is very heavy,1,Negative
140,140, Battery backup awesome display good camera ok i will not say camera is awesome,4,Positive
141,141,Superb excellent fantastic amazing fabulous,5,Positive
142,142, Can't find words to express the feeling of penning this phone,5,Positive
143,143,Awesome,5,Positive
144,144,👌Very nice quality at mid price smart phone,4,Positive
145,145, camera quality also too much surprised,2,Negative
146,146, just wow,5,Positive
147,147, image captured at different time and location,4,Positive
148,148, for the speed,4,Positive
149,149, quality and processor of this phone you can't compared to others mid price smart phone ,5,Positive
150,150,Came nicely packed but little bit late delivery ,4,Positive
151,151,  Never I think delivery was affected due to pandemic ,1,Negative
152,152,Just little bit disappointed ( but considerable) with two thing ,3,Positive
153,153,One this is that the battery consumption and second one is mobile wei,3,Positive
154,154,Been using it for > 1 month,4,Positive
155,155, In call proximity sensor doesnt work,1,Negative
156,156, Suddenly call goes on hold or goes to speaker mode due to face contact,1,Negative
157,157, To end call i have to click on end 3 times as it keeps jumping up and down,2,Negative
158,158, After applying tempered glass the touch response is pathetic,1,Negative
159,159, To scroll need to try multiple times as it wont detect scroll action on 1st attempt,2,Negative
160,160, Poco f1 was notches better in such simple things,3,Positive
161,161, Apart from processor its aa good as a Rs 5k phone,3,Positive
162,162, Pathetic,1,Negative
163,163,Great Product,5,Positive
164,164, Just Completed 3 Months using it and it works freakishly smooth,5,Positive
165,165, Gaming Experience is the best,5,Positive
166,166, Great Speaker & Sensors,5,Positive
167,167, It's like I lucked out by buying this Phone,4,Positive
168,168, A bit on the heavier side ,3,Positive
169,169, other than that the processor and sensors balance it out with performance,3,Positive
170,170, Some say the Camera is not up to the mark but I would like to differ with them,3,Positive
171,171, I really liked the Camera Quality,4,Positive
172,172, 120 Hz refresh rate really works like wonder and the Qualcomm Snapdragon 860 Processor doesn't l,5,Positive
173,173,Cameras are below average i would say (don't buy if you care about pictures/photos quality)It do heat up ,3,Positive
174,174, it has 860 powerful SOC (also it's summer)  Not totally ad-free POCO might enable it in near futurePOCO also can install some apps via OTA updates (just like they did with POCO F1)Great phone for gamers (if they don't care much about privacy/DATA protection and bug/glitchy free UI experience)Battery is great actually and ram management is better than POCO F1 ( i am not gamer ,4,Positive
175,175, a,4,Positive
176,176,My 1month review:Lagging too much while gaming  and overheating makes the game more choppy and lagging,2,Negative
177,177,  Good for low end gaming not the best in market,3,Positive
178,178,   Don't buy this phone trust me,1,Negative
179,179, I feel very bad of buying this phone,1,Negative
180,180, I'm a gamer I've bought this mobile by seeing youtubers,5,Positive
181,181,  All the YouTube's are not genuine,2,Negative
182,182,  Don't trust youtubers,1,Negative
183,183,Not worth the hype!! Used it for 2 weeks,1,Negative
184,184, Firstly,5,Positive
185,185, flipkart took 1 week to deliver,1,Negative
186,186, which is crazy,1,Negative
187,187, Secondly,3,Positive
188,188, about the phone,4,Positive
189,189, it is really heavy,2,Negative
190,190, cameras are average,3,Positive
191,191, fast charger doesn't work as claimed,2,Negative
192,192, takes about 1 hours 45 minutes to fully charge from zero as opposed to 1 hour claim by the company,1,Negative
193,193, Really disappointing,2,Negative
194,194,Battery performance is also average,3,Positive
195,195,5 hours of screen time only!! Screen is good but I felt it becoming in unresponsive so many times,2,Negative
196,196, may be due to the wet finge,3,Positive
197,197,HONEST REVIEW OF POCO X3 PROBroooo ,5,Positive
198,198, I just ordered it for pubg,3,Positive
199,199, And it's good for it too ,4,Positive
200,200, ,4,Positive
201,201, THERE ARE HEATING ISSUES,2,Negative
202,202,IT GETS HEATED UP ONLY IN 1 TO 2 TDM MATCHES,2,Negative
203,203,SO IF YOU ARE A GAMER WHO PLAY FOR HOURS,3,Positive
204,204,YOU SHOULD DEFINITELY NOT GO FOR IT,1,Negative
205,205, ELSE EVERYTHING IS FINE,3,Positive
206,206, IT SUPPORTS ULTRA HD+ULTRA IN PUBG,5,Positive
207,207,NOW WHAT EXTRA DO WE NEED,5,Positive
208,208,??ALSO THERE IS ONE ISSUE WHICH FACED THAT IS IT'S SIM CARD TRAY IS NOT GETTING OUT EASILY,3,Positive
209,209,MEANS YOU NEED TO HAVE LONG NAILS AND MUCH FORCE,4,Positive
210,210,This is going to be a long,4,Positive
211,211, and tough to write review,5,Positive
212,212,First,5,Positive
213,213, the pros+ Amazing performance,5,Positive
214,214, SD860 works like a charm+ Screen,5,Positive
215,215, The LCD panel used is very premium,3,Positive
216,216, and has very deep blacks,2,Negative
217,217, almost comparable to an AMOLED+ charging,3,Positive
218,218, It is fast,3,Positive
219,219, and power supply also supports other quick charging setups in samsung amd other phones,5,Positive
220,220, (OnePlus  warp charging not supported though)+ 3,3,Positive
221,221,5mm jackCons:- camera: even with Gcam,5,Positive
222,222, the 48MP camera is mediocre at best,2,Negative
223,223, 2MP macro camera is waste,1,Negative
224,224,I like the phone,4,Positive
225,225, very good hardware,5,Positive
226,226, The design on the back looks bad,2,Negative
227,227, ngl,3,Positive
228,228, but that part is covered by my case,3,Positive
229,229, so I'm not complaining,3,Positive
230,230, I don't like the software,2,Negative
231,231, never liked MIUI,1,Negative
232,232, I never intended to use it,2,Negative
233,233, My intention was to install a stock android custom rom,4,Positive
234,234, which I did,5,Positive
235,235, and I'm loving my phone now,5,Positive
236,236,Writing this review helpful for the Poco x3 pro buyer here,5,Positive
237,237,I personally used it for 10days,5,Positive
238,238,Pros:- Powerful chip 860Soc performance is great,5,Positive
239,239,Stereo sound clarity is very good,4,Positive
240,240,Network connectivity is good,4,Positive
241,241,As heard it's not that bulky ,3,Positive
242,242, weight balance is very good,4,Positive
243,243,Fast charging is nice in 33watt charger,5,Positive
244,244,Battery manage 1day with 4 hours online classes,5,Positive
245,245,ROM management is proper,4,Positive
246,246,Look wise ok,3,Positive
247,247,Cons:- Average Camera,3,Positive
248,248, Plastic back,3,Positive
249,249,Lacking behind in terms of Super Amoled display,2,Negative
250,250,Phone i,5,Positive
251,251,Awesome phone for gaming performance,5,Positive
252,252, Super nice camera quality,5,Positive
253,253, Back panel looks is superb,5,Positive
254,254, Overall performance best,5,Positive
255,255, If you buy this mobile then I suggest to you,3,Positive
256,256, you can definitely go to buy this,5,Positive
257,257, This phone is best for me,5,Positive
258,258, I love it,5,Positive
259,259,Gaming is too good on this phone,2,Negative
260,260, I was getting constant 85 to 90 fps in 90 fps mode in pubg(patched),2,Negative
261,261, Awesome performance for this price,5,Positive
262,262,MIUI is like itself ,4,Positive
263,263, you can turn off ads,5,Positive
264,264, I turned off every service and unticked every user agreement of miui except few that are needed and turned off data access for getapps and some other and i haven't got a single ads,1,Negative
265,265,btw UI has some bugs  ,3,Positive
266,266, lags and stutter ,2,Negative
267,267, miui is just average,3,Positive
268,268,Display is good for price ,4,Positive
269,269, super responsive and fast,5,Positive
270,270,(if display,3,Positive
271,271,Reviewing after 5 months of usageCamera: 3/5Display: 4/5Battery:4/5Performance and gaming: 5/5Overall a good product,4,Positive
272,272, if you are someone who love to play games or like super fast phone then go for it,5,Positive
273,273, People who take pictures alot plz don't buy,1,Negative
274,274,Upgrade after redmi note 7 proI was going for samsung ,5,Positive
275,275, I wanted performance oriented phone so I decided to buy itPros:Performance 💥💥💥Display is goodSpeaker is better than my previous phoneRead and write speed is insaneI can easily notice difference between 120 hz  and 60hzResponse rate is excellent 😊Cons:Device exceeds 40C after normal use ( I think it's due to miui can be fixed after update)Camera quality is 🤢,4,Positive
276,276,My redmi note 7 pro has better camera,3,Positive
277,277,(It can be improved using,3,Positive
278,278,In gaming perspective u will see stunning visuals in every game as it's meant to do so ! For camera if you click in pro mode you'll get 22mb images and you will be amazed how good the camera is ,4,Positive
279,279, then a subtle reminder will tell you that you bought it for Snapdragon 860👹Front camera makes your skin tone lighter and doesn't give natural skin tone(had to say this)!!,4,Positive
280,280,Superb poco x3pro,5,Positive
281,281, I order on 4 May got my order 8 May,1,Negative
282,282, I was worried coz cash on delivery is not available on my location pin no,1,Negative
283,283, But thanks to flipkart deliver my poco x3pro safe I am happy,5,Positive
284,284, Poco x3pro got a super processor run every thing smooth including high fps games,5,Positive
285,285, This is my one day use review I will update it later if I get any problem hope fully not  👍,5,Positive
286,286,Overall a good phone with a best processor in this price segment Nice displayDecent camera(It is not a highlight of this phone) Sndp 860 the beast🔥🔥🔥33 W fast chargerThe UI is little laggy ,4,Positive
287,287, it will be updated All over a nice and a must buy phone,5,Positive
288,288,Starting with design,5,Positive
289,289,i really like the design(my personal opinion)BUILD QUALITY -on front u get CG 6,4,Positive
290,290,back u get plastic which quality would have been done better DISPLAY - No issues with the display,3,Positive
291,291, that 120hz really amazing,5,Positive
292,292,CAMERA - At this price 48mp is not enough,2,Negative
293,293,but images are decent and other 3 are not bad and videos are stable u can go up-to 4k 30fps,3,Positive
294,294,CHARGING - U get 33 w charger which does it job good,4,Positive
295,295, It takes less than an hour to chargerSPEAKERS -speakers are loud and crisp ,2,Negative
296,296,,4,Positive
297,297,Right time delivery and my pocco x3 pro 6/128 awesome smartphone and camera good ,5,Positive
298,298, speaker sound very good,5,Positive
299,299, and gaming experience very very good,5,Positive
300,300,It's again a Superb Spec phone as POCO F1,5,Positive
301,301, Everything is speedy and great so far,5,Positive
302,302, Facing bit bugs on MIUI though,3,Positive
303,303, Dark mode issues etc,3,Positive
304,304, If MIUI cares for a smooth UI experience,3,Positive
305,305, it'll be best phone at it's price,4,Positive
306,306, A Pro advice :- DON'T UPDATE MIUI PHONES,3,Positive
307,307, IF YOU WANT TO MAKE IT LAST LONG,3,Positive
308,308,Camera is not bad,3,Positive
309,309, Macro mode works well,4,Positive
310,310, Poco should update some features like call recording,3,Positive
311,311, Call recording facility is very poor,2,Negative
312,312, Call recording quality also very poor,1,Negative
313,313, U can't record all calls,1,Negative
314,314, You can only record numbers which are not saved in your contacts,3,Positive
315,315, For saved contacts you need to add each  number one by one manually,4,Positive
316,316, Which is very horrible,1,Negative
317,317, I have used redmi note 8pro and 9pro,5,Positive
318,318, But some features are missing in Poco x3 pro,3,Positive
319,319, I wish poco should modify in it's next update,3,Positive
320,320, And I wi,5,Positive
321,321,I Was using Xiaomi Mi A1 form last 4 years,5,Positive
322,322, Experience of switching from old tech to this Powerful new gen tech Machine is on whole new level and i am loving it so much❤️I sacrificed better Camera,5,Positive
323,323, Amoled Display & 5G in this price range and picked the performance of SD 860⚡ Thankyou Filpkart !Thankyou Poco !,5,Positive
324,324,Best for gaming and everything else My experience with is good The camera of this device is too good 😊,4,Positive
325,325,Poco X3 Pro need to optimise battery  otherwise the performance is very good and excellent I am using this mobile 10 days the camera quality is comparatively redmi note 9 Pro is equal when playing pubg almost 4 hours play back and very very important this is value for money,5,Positive
326,326,Just get this !!! You may be disappointed by miui like me that to after just 2daysJust buy this unlock Bootloader install twrp and flash a custom rom at that level this is the best phone out there with a custom rom!!! For camera install gcam with a proper xml and it takes a lot better images than stock rom camera!,5,Positive
327,327,Superb nice good very good aadipoli awesome wonderful,5,Positive
328,328,Awesome phone,5,Positive
329,329, just loved it mind-blowing performance and the camera is also great and the battery backup is also great Over all best deal in this budget,5,Positive
330,330, Thanks Flipkart Really loved it,5,Positive
331,331,I've used Poco F1📱 for 2 years and upgraded to Poco X3 pro(6gb RAM) 📱 and this is my review after using for 5 days,1,Negative
332,332,🔹performance is good (smooth 120hz),4,Positive
333,333, 🔹Gaming is good for price,4,Positive
334,334, 🔹Camera is average (go for Redmi_Note_10_pro_max if camera is your priority) 🔹 Battery backup is good,3,Positive
335,335,🔹 haptic feedback (vibration) is not satisfactory,1,Negative
336,336,🔹Speaker volume is Ok,3,Positive
337,337,🔹 Phone size is big and somewhat heavy (215g)I will update my review later,3,Positive
338,338,Been using this phone for over a week now,5,Positive
339,339, and after receiving the phone i immediately update it to 12,1,Negative
340,340,5,5,Positive
341,341, and some people say it would decrease the performance but as far i have experienced the performance is top notch for the price range,4,Positive
342,342, what more do you want,5,Positive
343,343, Some say it heat too much,3,Positive
344,344, but according to my usage i haven't seen the issue regarding overheat,3,Positive
345,345, I played BGMI in smooth extreme,5,Positive
346,346, so far it didn't cause any heat,3,Positive
347,347, just little bit warm,3,Positive
348,348, that's common for every device,3,Positive
349,349, I played Aspha,2,Negative
350,350,Pros - Runs almost all heavy games smoothLoud and clear speakersSmooth display,5,Positive
351,351, good colorsHuge batteryQuick reliable fingerprint sensorWater resistant to some extentCons - Big and heavy almost like a brick,4,Positive
352,352, If you hit some one with this on the head they may die,3,Positive
353,353, which you can count as a pro rather than a con is some situations,3,Positive
354,354,Perfect smooth for for this prize range,5,Positive
355,355,All apps and PUBG works ultra smooth without lagingCamera is Good ,5,Positive
356,356, not as good as expected (Ok,3,Positive
357,357,this is a Gaming Phone) Normal use got 26 hr battery life,5,Positive
358,358,Overall satisfied,4,Positive
359,359,Value for money,5,Positive
360,360,Display is good I am using this phone from 20 days nd this is best gaming phone under 20000,5,Positive
361,361, the processor 860 doing it's work well,4,Positive
362,362, battery is a downgrade for this phone cuz it's drain faster than any other else ,2,Negative
363,363, maybe it's because of new miui 12,3,Positive
364,364,5 update,5,Positive
365,365, I hope this problem maybe fix in future,3,Positive
366,366, Nd to be honest I think miui is the only reason which stopping it from shining in the sky ,3,Positive
367,367, Otherwise this smartphone is a beast ,1,Negative
368,368, It is a worth of money,5,Positive
369,369,VERY HAPPY WITH THIS PHONE,5,Positive
370,370,THIS PHONE WONT DISAPPOINT YOU SOME PROS AND CONS ABOUT THE PHONE                                                             Pros- ONE THE BEST PROCESSOR IN THE BUDGET,3,Positive
371,371,CAMERA IS GOOD IF U KNOW HOW TO USE IT IN A PROPER WAY ,3,Positive
372,372,BATTERY TOP NOTCH,5,Positive
373,373,SCREEN SMOOTHER THAN BUTTER AND BATTERY WONT AFFECT TOO MUCH AND YES GOO! For it                                                                     😀 THERE ARE NO CONS BUT DON’T UPDATE THE PHONE THATS ALL,3,Positive
374,374,Phone is very good for gaming,5,Positive
375,375, I just love it,5,Positive
376,376, But you have to sacrifice 5G,3,Positive
377,377, And if you want a all rounder phone then you should go for other options,3,Positive
378,378,And if you happy with the lil heavy weight and no 5G and  you want beast performance under 20 thousands then must gor for this phone,5,Positive
379,379,Very nice phone extra fast,5,Positive
380,380, very powerful processor,5,Positive
381,381, nice build well finished,5,Positive
382,382, Powerful stereo speakers,5,Positive
383,383, ClearBut,4,Positive
384,384, Xiomi made it worst,1,Negative
385,385, They made very poor ui it cannot use all the power of processor,1,Negative
386,386, Poor camera ui,1,Negative
387,387, Xiomi must work on it,5,Positive
388,388, Powerful Battery 8 hrs BGMI play,5,Positive
389,389, Full charge in 1 hr,5,Positive
390,390, overall very Nice phone,4,Positive
391,391,Nice phone Performance is good Battery is mediumCamera is also averageIf u are thinking to buy this phone for gaming and normal usage its the best,4,Positive
392,392,Excellent phone for daily usage and gaming,5,Positive
393,393, Cons It heat slightly when chargingRear camera does not click good pics in dim lightNo 5g There are many stock apps like mi pay etc which are uselessNo amoledPros Sd 860 120hz33 watt fast charging 3mm jack Notification ledFront camera impressive Stereo speaker Under 20k best buy if 5g is not your priority,2,Negative
394,394,Poco X3 Pro More ⚡Power to youUnbeatable Performance at this Price range❣️Camera ~ Good Imaging ExperienceFHD+ Display Protection ~ Corning Gorilla 6Refresh Rate ~ 120Hz Smart Display (Reality Flow) Touch Sampling Rate ~ 240HzExcellent 5160 mAh Battery Life33W Superfast Charging Speed🔋⚡Charging Time ~ 1hr 10min LiquidCool Plus Technology ~ Cooldown To Fast 🚴三Super-fast processor ~ Qualcomm Snapdragon 860 (7nm)CPU ~ Octa core 2,5,Positive
395,395,96 GHzGPU ~ Adreno 6401)📷Camera 4/52)🔋Batter,5,Positive
396,396,The greatest mobile phone ever with super performance as a gaming phone weight is not that heavy like youtubers said ,5,Positive
397,397, Camera is good quality more than realme 7 best mobile under 20k,5,Positive
398,398,Im using this phone from a month and here is my honest reviewFirst of all i bought this phone not for gaming ,1,Negative
399,399, for future proofing myself cause it comes with SD860 processor ,4,Positive
400,400, For gamers no doubt this phone is awesome ,5,Positive
401,401, im giving my review not based on gaming or performance ,1,Negative
402,402, I saw lots of people in review section complaining about camera quality,3,Positive
403,403,  Personally i found the cameras Excellent ,5,Positive
404,404, Heres my detailed review for camera 1 ,4,Positive
405,405, Normal lense(48MP) (wide) - 5/5 Pictures are sharp det,3,Positive
406,406,Mainly as we know it's a device which totally based on proformance no doubt it's performance is good enough,3,Positive
407,407, Battery life is not as expected it Only get discharged in 5-6 hours in gaming mode,2,Negative
408,408, I'm using it from past 2days,5,Positive
409,409,these are things which I mainly felt ☺☺,3,Positive
410,410, Camera is also good as it have pro features which gaves u a pic in hdr mode😇,4,Positive
411,411, Charging is also fast ( full battery charged in 1 hour approx)  weightwise it's not so heavy looks are also cool specially that punchhole camera😂😂,3,Positive
412,412,Go for it if you game,3,Positive
413,413, you can call it a gaming phone under 20k,5,Positive
414,414, only for gaming nothing else it has got a decent battery life with avg cameras and (2/5) rated display,3,Positive
415,415, well we cannot expect amoled with this sd 860 soc in this price  range and there are some glitches with ui,4,Positive
416,416, hope they will be fixed in an update and yeah go for it if you need a performance beast at this price range,3,Positive
417,417, And I got it for 17k so worth it,5,Positive
418,418,Quite amazing product,5,Positive
419,419, This is very impressive in this price segment,5,Positive
420,420, All aspects are good and I dont even care about  the screen whether its Amoled or IPS and this phone's screen is very nice and I like it,4,Positive
421,421,Before buying this phone,1,Negative
422,422, I heard a lot about the Battery Charging time and Camera,3,Positive
423,423, to be honest,5,Positive
424,424, EXCELLENT on both of the segment,5,Positive
425,425, I really didn't expect from POCO X series,3,Positive
426,426, I am proud to be a member of poco family,5,Positive
427,427,And also a big thanks to Flipkart team,5,Positive
428,428, its you that made us smile alw,5,Positive
429,429,Phone is nice ,4,Positive
430,430, camera and display quality is average i have been using redmi k20 pro before I don't find this device as good as redmi k20 pro in any thing if you are a gamer you will like it ,3,Positive
431,431, if you are photoholic then you will not like this device,1,Negative
432,432,Best smartphone under 20000And best processor - Snapdragon 860Camera is not goodBut value for moneyAnd best battery backupAnd good display,4,Positive
433,433,Upgraded from my old poco f1 almost same,5,Positive
434,434, sound better performance faster and display is bigger than poco f1,5,Positive
435,435, camera is average but gets the job done,3,Positive
436,436, 120 hz is smooth ,5,Positive
437,437, consumes more battery,2,Negative
438,438, I'm satisfied one more thing dual stereo speakers are loud ,4,Positive
439,439, the background vibrates little bit,3,Positive
440,440,Worthy and most noticeable thing in this smartphone is u r getting Snapdragon 860 with smooth performance in between 16000 INR whatever things  need in a  smartphone  u r getting all that in one phone ,5,Positive
441,441, Drawback- there is no 5G connectivity if u r searching a 5 g phone then don't go with this and one more missing thing in this i,1,Negative
442,442,e amoled display,1,Negative
443,443,1 week earlier i broke my rog 2 and after that i got the display price for 16000 then i thought i should get new phone instead of repairing the display,1,Negative
444,444,and i went for this device,5,Positive
445,445,now i will explain the whole experience that has been changed from this rog to this device,5,Positive
446,446, It doesnt lies anywhere rog devices,1,Negative
447,447,the experience is really worst in miui,1,Negative
448,448,its not at all worth it lots of crashes and shuttering as well,1,Negative
449,449, For 19000 its a good choice ,4,Positive
450,450, realme x7 max you can get it for 25000 an,5,Positive
451,451,There is some bugs here and there in poco launcher however extremely good phone at this price point,4,Positive
452,452, sound is awesome however the back panel vibration is strong while listening to music,4,Positive
453,453,performance was amazing as 860 is doing its work,5,Positive
454,454, ,4,Positive
455,455, the display is not amoled its still looks gorgeous in hdr content and 120 hz refresh rate is cherry on top,5,Positive
456,456, BGMI runs at 90 fps constant after using the patch with hdr ultra settings,1,Negative
457,457, Mobile legends run at 60 in ultra settings,5,Positive
458,458,genshin impact r,5,Positive
459,459,Overall phone is good,4,Positive
460,460, But camera quality is not that much good it's like decent camera,3,Positive
461,461, If you want to buy a camera centric phone is not for you,1,Negative
462,462, And coming to the screen its not Amoled display ,1,Negative
463,463, quality of screen is very good,5,Positive
464,464, I use this phone past 45 days and it the best phone under 20000,5,Positive
465,465, You can blindly believe me and purchase this phone if you want to purchase,5,Positive
466,466,mobile is very good it is worth the money camera is also very good May not play the game otherwise its processor is a plus point for me,4,Positive
467,467,It's the best phone i have ever purchased,5,Positive
468,468, I like this product very much the battery backup is so amazing ,5,Positive
469,469, And it is the gaming beast best phone for gaming under this range,5,Positive
470,470, But Charging speed is little bit slow ,3,Positive
471,471, no problem,4,Positive
472,472,Good phone,4,Positive
473,473, Best performance we can get for this price,5,Positive
474,474, In number camera is bad,2,Negative
