,sentence_reviews,Score,Class
140, The main reason you're even considering this is because you want a compact phone that doesn't compromise on power,3,Positive
141," Getting OS updates for another 4-5 years, with a decent camera, waterproofing and wireless charging is just an added advantage",4,Positive
142, There's a few things it could've done better: 1,3,Positive
143, Battery is barely adequate for a day of moderate usage,2,Negative
144, The bezels could have been reduced to have more screen to body ratio,3,Positive
145, Night mode for the camera was a software feature that ,4,Positive
146,As always compact and handy ,5,Positive
147, with good image stability 4K gives amazing experience Battery capacity is little poor ,4,Positive
148, it’s worth buying on this budget,4,Positive
149,4/5 my rating,4,Positive
150,The powerful small phone that I always wished for !!Nowadays the fad is big screen phones ,5,Positive
151," for me, I like a small powerful phone with awesome camera",5,Positive
152, Ticked all the boxes that I had in my mind,1,Negative
153, Switched from android,1,Negative
154, Never going back!,5,Positive
155,Everything is fine of this mobile except battery,4,Positive
156, Battery consumption at 8-10% Brightness inVideo call : almost 4% reduction for every 5-6 mins,3,Positive
157, Phone call : almost 1% reduction for every 4-5 mins,2,Negative
158, Which seems to be bit faster consumption,3,Positive
159, First iPhone I’m using,5,Positive
160, I’m not sure about regular battery consumption rate,3,Positive
161, But this doesn’t look nice to me,2,Negative
162,"After using this Device as my daily driver for over a month i can say that , It’s inbuilt AI and Machine Learning is so good that it manages all my things by itself, and even after having a small battery of 1800 MAH, it performs all day with some juice left, which is impressive",5,Positive
163," Awesome Camera, amazing Performance thanks to A13 Bionic",5,Positive
164, Suggestion go for 128GB it will help you in long run,5,Positive
165, Overall a very good and nice product,4,Positive
166,"First of all we will talk about battery it has 1800 mah battery ,",5,Positive
167, u know what it works like 4000 mah truly amazing phone with optical image stabilisation in video with editing option 64 gb variant is too good go for it,5,Positive
168,"As being a frequent apple user, I couldn't find much of a difference when comparing to IPhone 6",3,Positive
169,The size and display are the same of IPhone 6 and ofcourse there is 0 negative comments for the A13 chip,1,Negative
170, It is super fast✌️,5,Positive
171,Overall it's the same iPhone 6 with an A13 chip and the generation updates a smartphone can get in 2020,4,Positive
172,"No negative comments for the camera, apple is always the topper in capturing moments and SE2 has got the studio lights, a front facing portrait camera, a wider photo fr",5,Positive
173,This is an amazing phone for the price,5,Positive
174," For someone coming from a pure Android background, migrating data would take a little time, and the battery backup may be quite less for the first 1-2 days",3,Positive
175," Once it is all set, I felt that the phone gives a decent battery backup",3,Positive
176, The backup with the ~1800mAh battery on this phone is somewhat comparable to that of an Android with twice the capacity,4,Positive
177,"Camera is amazing for my use, as the lighting and colour tone are Natural, close to what we would see with",5,Positive
178,This is my first iPhone,5,Positive
179, And after using it for 6 continuous days the difference between my previous Sony XZS Android and this iPhone is easily noticeable,5,Positive
180,  The camera is better in every way,3,Positive
181, The only thing I miss about my previous phone is the 960 frame/sec super slow motion recording,4,Positive
182, Performance is way too better than android,2,Negative
183," This is fast, very very fast",2,Negative
184, If your eyes are not glued with the screen the battery life is ok,3,Positive
185, In fact this is the only issue with this phone,3,Positive
186, This one fits in my ,5,Positive
187,Finally most awaited first iPhone came within 3 days of order iPhone SE in one line A powerful performance in compact design and affordable ratesFirst iPhone in life where you compare each and every functionality with your previous android phone,5,Positive
188,Pros * Powerful chip at affordable price * Suitable who want to back to having experience of compact screen phone without bazzels,5,Positive
189,* Powerful camera experience with A13 Bionic chip image processing power* My personally favourite I always pref,5,Positive
190,Most amazing camera in iphone 👌 that is my personal ask I'm Finally buy my First i phone and that latest processor and All new things amazed you it's sooo Handy and enjoyable to Use,5,Positive
191, And beat other I phones now so enjoyed it,5,Positive
192,Brilliant performance everything is best if you compatible with small screen ,5,Positive
193," battery is average , premium looks sound quality awesome handy phone camera quality ❤️❤️❤️Thanks flipkart",5,Positive
194,Writing this review after around 1 week of use,1,Negative
195,Updating this review after a further 2 weeks of use,2,Negative
196,"Initially, there was some heating on the phone, ",3,Positive
197, on further use that problem has disappeared,3,Positive
198," Got to explore the camera a bit more and found it to be very good, the stability on the video is also good",4,Positive
199,Pros -      1,5,Positive
200, Good Camera Quality,4,Positive
201, Image quality is very good,4,Positive
202, Pictures are sharp,3,Positive
203, Good performance in bokeh mode,4,Positive
204,      2,5,Positive
205, Good performance,4,Positive
206," The phone has no lags so far, it is very smoo",3,Positive
207,Honest advice  :  Don't watch any tech reviewer's videos before buying this beast,1,Negative
208,"I purchased this product on 6th June,2020 and here is my honest review :1",1,Negative
209, Device looks small ,2,Negative
210, the way it works is truly amazing,5,Positive
211," if you are switching from ~6"" screen , it is going to be troublesome for a while",3,Positive
212, 1821  mah battery ,5,Positive
213, 0 to 100% charging time is around 130 minutes,1,Negative
214, Fast charging/wireless charging is supported ,4,Positive
215, fast charger is not included in box,3,Positive
216, Gaming Experience is amazing BUT p,4,Positive
217,Been using it for almost a year now,5,Positive
218, I switched to this phone from Samsung galaxy a50 and it was really hard getting used to a 4,2,Negative
219,7 inch screen from a 6,5,Positive
220,4 inch one,1,Negative
221," However, with time i got used to the display and it feels just like any standard display",3,Positive
222, The display panel is 750p which would look blurry if the screen of this phone was bigger,3,Positive
223, As it has a smaller screen the pixels are packed close to each other which results in a sharp looking display,3,Positive
224," Coming to the battery life of this phone, ",5,Positive
225,Got it yesterday 11 June ordered on 30may seller shipped on 7 June What’s happening Flipkart ? Coming to the phone,1,Negative
226, I switched from my old Se ,1,Negative
227,CAMERA: it’s just Awesome in every way ,5,Positive
228, those portraits lighting effects are of no use obviously mostly they won’t be used by anyone BATTERY: it’s just average it only remains for 6 to 8 hours of moderate usage DISPLAY: coming from four inch screen to 4,2,Negative
229,7 I feel like it’s huge and fair enough ( I always prefer compact phones ) Touch ID : it’s,5,Positive
230,I jumped from old SE to the new SE,5,Positive
231,the screen to body sized ratio is perfect for usage for a medium size palm,5,Positive
232, The highlight of this product is it’s elegance and sleek design,4,Positive
233, Looks so good in white colour,5,Positive
234, Performance is well packed with well coordinated GPU and CPU,5,Positive
235, If u are using bezel less phones then u might not consider it,3,Positive
236," But if u have decided to buy it then this product will bring a huge smile on your face in terms of speed, CAMERA, looks, iOS ecosystem and longevity of this devic",4,Positive
237,"Some might say overpriced in India, ",3,Positive
238, below are the PROS and CONS after 3 days of usage:Pros:1,3,Positive
239, Blazing fast processor,2,Negative
240, Runs everything thrown at it without a stutter,1,Negative
241, Very good single camera for daylight photography,4,Positive
242, Night time is good ,4,Positive
243, not great,2,Negative
244, Optimal screen size for a phone for one hand use,5,Positive
245, Brilliant looks5,5,Positive
246, Battery life is one day when used like a phone,1,Negative
247, Watch various youtube videos to increase battery life,5,Positive
248, Optimal use of battery saver mode and screen brightness can,5,Positive
249,iPhone is well known for slim and super platform for durability and shock proof,5,Positive
250,Those who want compact small and handy device cn go for it,4,Positive
251,"It is good for email surfing, browsing, couple of videos per day",4,Positive
252,Camera quality is not superb ,3,Positive
253, good in day lightVideo is extraordinary i can sayPerformance speed is tremendousBattery approx 1800mah is equivalent to 4000mah of other brands,5,Positive
254,White color stand unique in crowd,5,Positive
255, because black color become traditional for all mobile handsets,5,Positive
256,Can go,5,Positive
257,Mini Black BeastWho likes handy best option with solid device and super fast performanceBattery stands for 4 to 5 hrs,5,Positive
258,"Over all satisfied as a first time iPhone userFavourites in this device speed,ui, camera portrait image features, mini device with solid build",5,Positive
259,This is my first iPhone,5,Positive
260," I would say that coming from Android, there are some times when I feel that it is restricted in certain ways and you just have to accept it",3,Positive
261," Coming to the phone itself, camera is amazing minus the low light photography part",5,Positive
262, Battery backup is ok ok,3,Positive
263, I bought 12W Apple charger separately which charges it pretty fast so I do not worry about battery being low,4,Positive
264," Also since I am mostly at home, it doesn’t matter so much",3,Positive
265, Display is ok,3,Positive
266, Its a nice display ,4,Positive
267, a small one a,3,Positive
268,Its a great product,5,Positive
269, Would have given more than 5 star for the performance,3,Positive
270, Camera quality is much better than 20MP ,2,Negative
271, And it operates at lighting fast pace,5,Positive
272, The only small minus point is battery,4,Positive
273, A ,4,Positive
274, as i am a moderate user its perfectly fine for me,5,Positive
275, Great product as usual from apple,5,Positive
276,"One of the best handsets, very easy to carry & handle",5,Positive
277," Exceptional performance & amazing display, however battery is the only concern",4,Positive
278," It consumes more battery when you use internet, especially streaming videos and also while taking pictures",3,Positive
279, Otherwise everything thing is perfect,4,Positive
280, People who don’t like to carry big handsets on pocket can definitely go for this,5,Positive
281, But remember if you play more games or if u r always on internet you might need to carry a fast charger,3,Positive
282,USP:1,1,Negative
283, Compact mobile which i always wanted in iPhone models2,5,Positive
284," Kickass A13 bionic chip , one of the best energy efficient apple processor produced till date",5,Positive
285, Camera is awesome to take pics (only day time) 4K videos 30/60 fps,5,Positive
286,Downside:1,3,Positive
287, Battery drain very fast,2,Negative
288,(googled and made it battery efficient) now it last atleast 1,5,Positive
289,5 day with moderate usage,3,Positive
290,Note: i would not advice this compact super mobile for people who are always glued to social media and YouTube,3,Positive
291,This is for someone who w,5,Positive
292,I phone se best product and best value my very happy to perches this phone and came or warking is mind blowing the camera captures is a excellent work so im happy to perche I phone se the new one🤩🤩🤩🤩🤩🤩🤩,5,Positive
293,Very nice phone,5,Positive
294, Actually it's my first iPhone so I was very excited,2,Negative
295, Nd I'm happy with this phone,5,Positive
296,"Nice phone for gaming, battery backup is not that much for gaming ",4,Positive
297, I suggest buy one good powerbank or fast charger,4,Positive
298, If u have small fingers then it's best device for u,4,Positive
299,I really love to use ios😍,5,Positive
300,Apple is my Favourite brand 🔥,5,Positive
301, I really love this phone,5,Positive
302, It was easy to hold and It was very fast processing mobile,5,Positive
303, In Future I will always purchase Apple mobile😍 Thank You Apple and Flipkart,5,Positive
304,Kind of camera in this price range  is amazing ,5,Positive
305, as the user interface is amazingly convenient ,5,Positive
306, no wonder why after getting an iphone ppl take a step forward for other accessories ,4,Positive
307, worth of buying at this price range,5,Positive
308,Very good phone for regular usage camera is outstanding with A13 boinic chip,5,Positive
309, Value for money set,5,Positive
310, Battery is not that much perfect ,3,Positive
311, over all a good and handy smartphone i had ever seen,5,Positive
312,Update : I’m getting close to 7 hrs screen on time on single charge,1,Negative
313, Of course without any games,3,Positive
314, Everything is good except battery and Night camera capabilities,4,Positive
315,Performance is top notchI’m using Motorola power delivery charger with usb c to lightning cable to fast charge it,5,Positive
316,Brought motorola usb c power delivery charger for my iPhone SE 2020I’m using this along with Amazonbasics usb c to lightening cable,5,Positive
317,Its awesome and following are the charging stats :15 min 0 to 30%27 min 0 to 50,5,Positive
318,"Best phone for those using Iphone 6,6s,7,8And best camera and best portrait mode with A13 Bio chip, Very smooth Touch and Best features with value of money",5,Positive
319,My first iphone ,5,Positive
320,",I just switched my vivo S1 pro to iphone SE 2 2020 and I would like to say something about this iphone ",1,Negative
321,It's amazing ,5,Positive
322,Those guys who want a cute small and handy phone so just go for this iphone,5,Positive
323, 🤘🤘🤘❤️,5,Positive
324,"It is just so beautiful and I think you should buy it, the camera is a beast, the battery last just fine through out the day with mild use, if ur a heavy user you'd need to charge it maybe ",5,Positive
325," the performance is epic and you get rlly good gameplay, worth the money, btw if ur coming for a larger screen, you might feel it's a lil too small ",4,Positive
326," honestly it's not rlly that small, so buy it, it's perfect",5,Positive
327,Battery will give good performance for a normal userI suggest another variant for heavy usersCam quality is good in day light conditions Performance is very good with A13 Bionic chipSmall in size and don’t expect a screen size like MI or one plus full screen mobiles,4,Positive
328,Each and every Paisa you is worthyCamera section is a great upgrade Performance is a beastIt’s just a old design ,5,Positive
329, still amazing design to hold in hand,5,Positive
330,I upgraded from old SE and satisfied to the core,5,Positive
331,So fast as light  classy premium look  at affordable price thank you flipkart for easy delivery,5,Positive
332,Loved it!12 MP single camera does its job better than many flagship camera phones,5,Positive
333, Very compact and perfect for single hand use,5,Positive
334, Battery lasts at least one day for a normal use,2,Negative
335,Pros :-1,5,Positive
336, A-13 Bionic Chip,5,Positive
337,Beast in performance2,5,Positive
338, Best video camera phone under 50K3,5,Positive
339," Easy to hold, carry and one handed use4",5,Positive
340, RAM management is excellent5,5,Positive
341, Rear camera is good6,4,Positive
342, Output from speekers are too goodCons :-1,2,Negative
343, Worst battery performance,1,Negative
344,4 hours hardly on a single charge2,1,Negative
345, Still you get 5W charger in the box,3,Positive
346, While phone's cost around 42,3,Positive
347,,4,Positive
348, phone does support 18w fast charging,4,Positive
349, No night mode available4,1,Negative
350, Design is too old5,2,Negative
351, Frot camera is not up to the ,1,Negative
352,Best camera phone Image processing is best Best display and battery life is also best Best processor Overall best phone U can look after images also,5,Positive
353,"It’s a beast in performance, only thing that I didn’t like is it lacks night mode for low light photography",4,Positive
354," Battery backup is quite average only light to medium users can live with it, not meant for heavy users",3,Positive
355, It can handle each and every task very easily,5,Positive
356," Doesn’t break a sweat no matter what you throw at it, whether a heavy gameplay or exporting/rendering of heavy videos",3,Positive
357, Fits perfectly in pocket as well as in hand,5,Positive
358, I’ve been using it for more than 9 months,1,Negative
359, It is really a great device if,4,Positive
360,"Speed is Awesome , high quality Camera with portrait mode , more handy than big screen mobiles, Premium look & design , sound quality is boom , very happy After purchase this",5,Positive
361,This Phone is Simply Brilliant,5,Positive
362,"The fastest mobile processor from Apple, A13 bionic chip can tackle any task without breaking a sweat",5,Positive
363, The CLASSIC Design is the reason to buy this phone as it is so easy for one hand operation,5,Positive
364, Camera performance and Battery backup has been improved significantly over the predecessor,5,Positive
365, Definetely a Value for your Buck,5,Positive
366,Best model if you wish to enter the Apple ecosystem,5,Positive
367, Flawless product and seamless experience,5,Positive
368, I love this phone,5,Positive
369,Hey iPhone lovers,5,Positive
370, If you like small phone you'll love it,5,Positive
371, A13 performed like a beast,1,Negative
372, Performance is top notch,5,Positive
373," If your budget tight, then go for it",3,Positive
374, You never disappoint after use it,5,Positive
375, And Apple iPhone security is best,5,Positive
376,It’s not good product ,1,Negative
377,it’s cost is more quality is not good every time is hangout,1,Negative
378,battery consumption is more at least half day also not get in ,1,Negative
379,finally my best suggestion is choose another one,5,Positive
380,Excellent phone from Apple,5,Positive
381, Almost same like iPhone 7 and 8 with latest processor,4,Positive
382, I can feel the speed very much compared to the iPhone 6s,5,Positive
383, It’s awesome budget phone from iPhone family,5,Positive
384,It's a good phone for who like handy phones,4,Positive
385, But when its come to battery backup it's a worst thing,1,Negative
386, Performance of the phone is good,4,Positive
387,The phone is amazing according to me,5,Positive
388, just some cons r the battery life and the big bezels ,4,Positive
389, the small phone is all I needed ,5,Positive
390, and it feels so much secure in one hand,5,Positive
391, i needed exactly this type of phone which i can use one handed and have the beast like performance,5,Positive
392, previously i was using a 5 inch phone Nokia 3 so the shift according to size is giving the same feel,3,Positive
393, one thing that bothering me is the keyboard… even its approx the same size phone ,4,Positive
394, keyboard is too tight to type,2,Negative
395, it w,3,Positive
396,"Performance is top notch, battery is full day easily after disabling background app Refresh ( it doesn’t effect any functionality) and some other tweaks",4,Positive
397, Camera is fantastic overall value for money if you get this in offer,5,Positive
398,"Amazing phone, loved it, only issue is gets hot too much and too early",4,Positive
399, Otherwise a very good buy,4,Positive
400,Amazing phone with beast performance and super value for money if you wanna be in apple eco system this is great device for you,5,Positive
401,This is good phone for someone who never used iphone yet ,4,Positive
402," of someone using/used any one of iphone 6 , 7 and/or 8 then there is no much difference between the features except performance",3,Positive
403, With the provided features the price is too high for this phone,3,Positive
404, If someone is looking for upgrading then I would strongly suggest you to go for iPhone XS or later versions,3,Positive
405, This is completely my own opinion and please read other reviews as well before making a decision to purchase this product,1,Negative
406,For ppl who prefer small displays this is the ryt choice neat n clean  top notch performance ,4,Positive
407,FOR THOSE WHO R CONCERNED ABOUT BATTERY This has 1821mAh battery ,3,Positive
408, combined with a13 chip efficency is top notch ,5,Positive
409, Use 10W charger which comes with ipad or buy separately within 45 mins phone charger from 0-80% The 5w included in box is waste good for nothing,1,Negative
410, Switch off optimised battery charging under battery health settings so 80-100% will b charged quickly,2,Negative
411,I use social media apps l,5,Positive
412,"Excellent phone , flawless performance The massive upgrade for the user who are using the iphone SE ( 1 gen) just like me",5,Positive
413,"Well, the phone is small and looks nice",4,Positive
414, It's not for people who loves bigger ones,2,Negative
415, It's basically for those people who don't use their phones for everything,3,Positive
416,It's fast,3,Positive
417,"design is cool, sleek and beautiful",5,Positive
418, You will need a back cover for sure if you want to keep up it's beauty,4,Positive
419, P:)battery life - not so good,3,Positive
420, voice clarity is fine,4,Positive
421,I am not a gamer neither a photographer,1,Negative
422,"Basically it;s a premium phone under budget so that you can say it loud - "" Hey! I own an Apple device""",3,Positive
423, If somebody is ,1,Negative
424,"Like It, Apple SE very nice and handy mobile, we can use it by single hand, like it too much if you are going single handy mobile you can go with Apple SE 2020 without any hesitation",5,Positive
425,Very handy and comfortable to hold,5,Positive
426," Best phone to buy if you want sleek design, powerfull processor, beautiful camera and that's fits in your pocket",5,Positive
427, I didn't hesitate while buying this phone instead of oneplus 8,1,Negative
428, Afterall its your choice whether you want a phone or a tab sized phone,3,Positive
429,S,4,Positive
430,- it's not that small,3,Positive
431,I switched from iPhone 8 to iPhone SE instead of going for iPhone 11 since SE comes with same power and great camera with a device size I can easily use and hold in my single hand,5,Positive
432, I got this delivered within one day of being available in India and it’s just great,5,Positive
433," I am a big fan of iOS and I’m deep into the Apple ecosystem with my iPad, MacBook, AirPods and an old iPod and I’m not disappointed here too",5,Positive
434, To those of you who are wondering how is it different from iPhone 8 since it practically ,5,Positive
435,"ProsClassy performance , sensitive touch , good sound quality , beautiful design , compact and comfortable,Good quality Camera, Battery backup is normal",4,Positive
436,ConsPhone is overheating this is something not expected from APPLE Bit disappointing,2,Negative
437,Selfi photo click flips automatically so sometimes photos are weird,3,Positive
438, Wish there is a setting not to flip before foto click,1,Negative
439,Honestly best package from apple,5,Positive
440, Super handy,5,Positive
441, I don't like big phones,2,Negative
442, This phone is perfect for me and would definately recommend to everybody,5,Positive
443, If you compare antutu and geekbench scores with of iphone 11; this easily beats the iphone 11,5,Positive
444,SE IS GOOD MOBILE and camera result is best my first apple mobile ,4,Positive
445, very good like better android and other device,5,Positive
446, U have apple so don’t need to camera,5,Positive
447,13 MP Back Camera More Better than 64mp camera phone's and 7MP Front Camera Same as that,5,Positive
448,1845 Mah Batter then any other 5000 mah Smartphones Batterymost precious part The Bionic13 Chipset in this price range just Awesome,5,Positive
449,"In one word its Superb, Ignore negetive comments regarding Battery life,Its stays easyly a day for Ofiicial work Purpose",5,Positive
450,"Build quality,Camera,Speaker Out put(Earpiece and Phone speaker)is top notch and apple airpod is just cherry on top",5,Positive
451,i have switched from 6 inch display to this phone not at all any issue,5,Positive
452,super smooth ios a big thumps up! overall its a fantastic gadget,5,Positive
453,Wanted a small iPhone with home ,3,Positive
454,"ton specifically,, this isn’t small at all!! Great handy phone with amazing camera settings",5,Positive
455, Thank you Steve!!,5,Positive
456,The Phone makes it a good compact phone to kick start you ios Experience,4,Positive
457, This being my second iphone after the 6S+ and this phone just being my secondary phone it has the solid reliability which i want,5,Positive
458, The battery standby is good ,4,Positive
459, if a person in considering to use this phone as a primary device the battery wont last for the full day sadly,2,Negative
460," The performance is brilliant, no lags in the phone and camera is pretty solid in 2021 and can definitely see the camera hold up pretty good for anothe",5,Positive
461,"Trust me its best phone under 30k or 40k , i bought it for 25k and i am sooo happy with it",5,Positive
462,Canara quality is good Performance is awesome Excellent for gaming ,5,Positive
463, small screen And battery performance is not much good Totally product is nice I loved it 🥰🥰🥰😍😍,4,Positive
464,Best iPhone in this price range,5,Positive
465,It can do almost everything an iPhone 11 can do and will get long support for iOS updates,5,Positive
466,Battery life is very good very few people know how to optimise the iOS according to their needs for battery usage,4,Positive
467," So I get easily a day of use, many people say heavy usage consumes battery life that's true for any smartphone even iPhone 11",3,Positive
468,"1 Week after using the phone I am Simply Loving it!I did a lot of research and was confused in Iphone XR, SE 2020 and One plus 8If you are Ok with older design/big bezels or looking for GREAT Camera in budget phone or moving from Android to IOS, this phone is best for you",5,Positive
469,"Camera(Portrait in selfie mode), Build quality, A13 Bionic Chip, Compact design, latest OS(software support for at least 4 years) is simply Bang On!Downs :Night mode Camera quality is not good",2,Negative
470,Battery is not the best,3,Positive
471,Writing this review after almost 3 months of usage,1,Negative
472, This is my first iPhone I got this delivered on 1st October 2021,5,Positive
473, The packaging was good,4,Positive
474," Coming to the device, I’m currently running iOS 15",5,Positive
