Review Title,Review Text
Just wow!,"iPhone SE 2020 Looks premium😍 Battery:-Most of the people think it’s only 1800 mAh battery???? Is it sufficient??🧐After 8 days of usage ..! in 100%chargeI have played lots of game especially pubg3Hrs of pubg with fully charge6Hrs of Heavy usages also played 1Hrs of pubg14Hrs with normal usage like .,movie,what app,Fb,Instagram and Twitter and callCharging time:- takes more than 2.5hrs with box charger and with 12w 1.50Hrs Performance:- Same like iPhone 11,11pro,11pro max (A13bionic..."
Wonderful,"Keep the battery aside and I don’t see any other reason why you shouldn’t buy it. It’s super fast, has an awesome pair of camera, punchy speaker, good looks, beautiful screen, perfect size and an amazing user experience. Everything about this phone is no nonsense.Coming to battery, I was aware it was less but I didn’t care because for my casual usage, it easily lasts 24hours. It easily gives an onscreen time of 4 hours per day and if you are using your phone for more than that, you know you..."
Value-for-money,"Camera is best. Mobile performance is good. 4.7 inch display phone is handy phone. Battery capacity is not good but in this range phone is good . Dual sim phone and one sim slot supported eSim. Better series in iPhone is X ,XS ,XR and 11. Software iOS 14.3 is latest."
Highly recommended,best compact phone i ever have.It has pretty good camera and performance.I have iphone 11pro but now i fall in love with this phone.Best phone👍👍.Go for it if u love small size phone👍👍👍
Super!,"My first iPhone and very happy with it. Slick and gorgeous design with perfect compact mobile. Performance is so amazing ,display softness more than 5 *. Little bit battery issues for fast drains like need to charge once in a 12 hours. May be this will solve out in next update. Definitely worth to buy than other brands."
Best in the market!,"One word.. beautiful iphone ❤️ premium feelJust go for it without any doubt. Superb camera, handy, white color is soo good. This phone is for someone who don't like big screen phones."
Nice product,"Let's face it. The main reason you're even considering this is because you want a compact phone that doesn't compromise on power. Getting OS updates for another 4-5 years, with a decent camera, waterproofing and wireless charging is just an added advantage. There's a few things it could've done better: 1. Battery is barely adequate for a day of moderate usage.2. The bezels could have been reduced to have more screen to body ratio.3. Night mode for the camera was a software feature that ..."
Value-for-money,As always compact and handy ... with good image stability 4K gives amazing experience Battery capacity is little poor .. it’s worth buying on this budget..4/5 my rating
Perfect product!,"The powerful small phone that I always wished for !!Nowadays the fad is big screen phones but for me, I like a small powerful phone with awesome camera. Ticked all the boxes that I had in my mind. Switched from android. Never going back!"
Unsatisfactory,Everything is fine of this mobile except battery. Battery consumption at 8-10% Brightness inVideo call : almost 4% reduction for every 5-6 mins. Phone call : almost 1% reduction for every 4-5 mins. Which seems to be bit faster consumption. First iPhone I’m using. I’m not sure about regular battery consumption rate. But this doesn’t look nice to me.
Super!,"After using this Device as my daily driver for over a month i can say that , It’s inbuilt AI and Machine Learning is so good that it manages all my things by itself, and even after having a small battery of 1800 MAH, it performs all day with some juice left, which is impressive. Awesome Camera, amazing Performance thanks to A13 Bionic. Suggestion go for 128GB it will help you in long run. Overall a very good and nice product."
Classy product,"First of all we will talk about battery it has 1800 mah battery ,but u know what it works like 4000 mah truly amazing phone with optical image stabilisation in video with editing option 64 gb variant is too good go for it"
Best in the market!,"As being a frequent apple user, I couldn't find much of a difference when comparing to IPhone 6.The size and display are the same of IPhone 6 and ofcourse there is 0 negative comments for the A13 chip. It is super fast✌️.Overall it's the same iPhone 6 with an A13 chip and the generation updates a smartphone can get in 2020.No negative comments for the camera, apple is always the topper in capturing moments and SE2 has got the studio lights, a front facing portrait camera, a wider photo fr..."
Best in this budget,"This is an amazing phone for the price. For someone coming from a pure Android background, migrating data would take a little time, and the battery backup may be quite less for the first 1-2 days. Once it is all set, I felt that the phone gives a decent battery backup. The backup with the ~1800mAh battery on this phone is somewhat comparable to that of an Android with twice the capacity.Camera is amazing for my use, as the lighting and colour tone are Natural, close to what we would see with..."
Terrific,"This is my first iPhone. And after using it for 6 continuous days the difference between my previous Sony XZS Android and this iPhone is easily noticeable.  The camera is better in every way. The only thing I miss about my previous phone is the 960 frame/sec super slow motion recording. Performance is way too better than android. This is fast, very very fast. If your eyes are not glued with the screen the battery life is ok. In fact this is the only issue with this phone. This one fits in my ..."
Perfect product!,Finally most awaited first iPhone came within 3 days of order iPhone SE in one line A powerful performance in compact design and affordable ratesFirst iPhone in life where you compare each and every functionality with your previous android phone.Pros * Powerful chip at affordable price * Suitable who want to back to having experience of compact screen phone without bazzels.* Powerful camera experience with A13 Bionic chip image processing power* My personally favourite I always pref...
Just wow!,Most amazing camera in iphone 👌 that is my personal ask I'm Finally buy my First i phone and that latest processor and All new things amazed you it's sooo Handy and enjoyable to Use. And beat other I phones now so enjoyed it.
Awesome,"Brilliant performance everything is best if you compatible with small screen but battery is average , premium looks sound quality awesome handy phone camera quality ❤️❤️❤️Thanks flipkart."
Does the job,"Writing this review after around 1 week of use.Updating this review after a further 2 weeks of use.Initially, there was some heating on the phone, but on further use that problem has disappeared. Got to explore the camera a bit more and found it to be very good, the stability on the video is also good.Pros -      1. Good Camera Quality. Image quality is very good. Pictures are sharp. Good performance in bokeh mode.      2. Good performance. The phone has no lags so far, it is very smoo..."
Go for it without any hesitation.,"Honest advice  :  Don't watch any tech reviewer's videos before buying this beast.I purchased this product on 6th June,2020 and here is my honest review :1. Device looks small but the way it works is truly amazing.2. if you are switching from ~6"" screen , it is going to be troublesome for a while.3. 1821  mah battery . 0 to 100% charging time is around 130 minutes. Fast charging/wireless charging is supported but fast charger is not included in box.4. Gaming Experience is amazing BUT p..."
Pretty good,"Been using it for almost a year now. I switched to this phone from Samsung galaxy a50 and it was really hard getting used to a 4.7 inch screen from a 6.4 inch one. However, with time i got used to the display and it feels just like any standard display. The display panel is 750p which would look blurry if the screen of this phone was bigger. As it has a smaller screen the pixels are packed close to each other which results in a sharp looking display. Coming to the battery life of this phone, ..."
Very Good,Got it yesterday 11 June ordered on 30may seller shipped on 7 June What’s happening Flipkart ? Coming to the phone. I switched from my old Se .CAMERA: it’s just Awesome in every way but those portraits lighting effects are of no use obviously mostly they won’t be used by anyone BATTERY: it’s just average it only remains for 6 to 8 hours of moderate usage DISPLAY: coming from four inch screen to 4.7 I feel like it’s huge and fair enough ( I always prefer compact phones ) Touch ID : it’s...
Awesome,"I jumped from old SE to the new SE.the screen to body sized ratio is perfect for usage for a medium size palm. The highlight of this product is it’s elegance and sleek design. Looks so good in white colour. Performance is well packed with well coordinated GPU and CPU. If u are using bezel less phones then u might not consider it. But if u have decided to buy it then this product will bring a huge smile on your face in terms of speed, CAMERA, looks, iOS ecosystem and longevity of this devic..."
Good phone for the price,"Some might say overpriced in India, but below are the PROS and CONS after 3 days of usage:Pros:1. Blazing fast processor. Runs everything thrown at it without a stutter.2. Very good single camera for daylight photography. Night time is good but not great.3. Optimal screen size for a phone for one hand use.4. Brilliant looks5. Battery life is one day when used like a phone. Watch various youtube videos to increase battery life. Optimal use of battery saver mode and screen brightness can..."
Highly recommended,"iPhone is well known for slim and super platform for durability and shock proof..Those who want compact small and handy device cn go for it.It is good for email surfing, browsing, couple of videos per day.Camera quality is not superb but good in day lightVideo is extraordinary i can sayPerformance speed is tremendousBattery approx 1800mah is equivalent to 4000mah of other brands.White color stand unique in crowd.. because black color become traditional for all mobile handsets..Can go..."
Excellent,"Mini Black BeastWho likes handy best option with solid device and super fast performanceBattery stands for 4 to 5 hrs.Over all satisfied as a first time iPhone userFavourites in this device speed,ui, camera portrait image features, mini device with solid build."
Worth the money,"This is my first iPhone. I would say that coming from Android, there are some times when I feel that it is restricted in certain ways and you just have to accept it. Coming to the phone itself, camera is amazing minus the low light photography part. Battery backup is ok ok. I bought 12W Apple charger separately which charges it pretty fast so I do not worry about battery being low. Also since I am mostly at home, it doesn’t matter so much. Display is ok. Its a nice display but a small one a..."
Terrific purchase,Its a great product. Would have given more than 5 star for the performance. Camera quality is much better than 20MP . And it operates at lighting fast pace. The only small minus point is battery. A but as i am a moderate user its perfectly fine for me. Great product as usual from apple.🙌🏻
Terrific,"One of the best handsets, very easy to carry & handle. Exceptional performance & amazing display, however battery is the only concern. It consumes more battery when you use internet, especially streaming videos and also while taking pictures. Otherwise everything thing is perfect. People who don’t like to carry big handsets on pocket can definitely go for this. But remember if you play more games or if u r always on internet you might need to carry a fast charger."
Value-for-money,"USP:1. Compact mobile which i always wanted in iPhone models2. Kickass A13 bionic chip , one of the best energy efficient apple processor produced till date.3. Camera is awesome to take pics (only day time) 4K videos 30/60 fps.Downside:1. Battery drain very fast.(googled and made it battery efficient) now it last atleast 1.5 day with moderate usage.Note: i would not advice this compact super mobile for people who are always glued to social media and YouTube.This is for someone who w..."
Classy product,I phone se best product and best value my very happy to perches this phone and came or warking is mind blowing the camera captures is a excellent work so im happy to perche I phone se the new one🤩🤩🤩🤩🤩🤩🤩
Must buy!,"Very nice phone. Actually it's my first iPhone so I was very excited. Nd I'm happy with this phone.Nice phone for gaming, battery backup is not that much for gaming but I suggest buy one good powerbank or fast charger. If u have small fingers then it's best device for u."
Simply awesome,I really love to use ios😍..Apple is my Favourite brand 🔥... I really love this phone. It was easy to hold and It was very fast processing mobile. In Future I will always purchase Apple mobile😍 Thank You Apple and Flipkart.
Mind-blowing purchase,Kind of camera in this price range  is amazing ... as the user interface is amazingly convenient ... no wonder why after getting an iphone ppl take a step forward for other accessories ...... worth of buying at this price range
Good,Very good phone for regular usage camera is outstanding with A13 boinic chip. Value for money set. Battery is not that much perfect but over all a good and handy smartphone i had ever seen.
Wonderful,Update : I’m getting close to 7 hrs screen on time on single charge. Of course without any games. Everything is good except battery and Night camera capabilities.Performance is top notchI’m using Motorola power delivery charger with usb c to lightning cable to fast charge it.Brought motorola usb c power delivery charger for my iPhone SE 2020I’m using this along with Amazonbasics usb c to lightening cable.Its awesome and following are the charging stats :15 min 0 to 30%27 min 0 to 50...
Highly recommended,"Best phone for those using Iphone 6,6s,7,8And best camera and best portrait mode with A13 Bio chip, Very smooth Touch and Best features with value of money."
Terrific,"My first iphone ......,I just switched my vivo S1 pro to iphone SE 2 2020 and I would like to say something about this iphone ..It's amazing .Those guys who want a cute small and handy phone so just go for this iphone. 🤘🤘🤘❤️"
Best in the market!,"It is just so beautiful and I think you should buy it, the camera is a beast, the battery last just fine through out the day with mild use, if ur a heavy user you'd need to charge it maybe but the performance is epic and you get rlly good gameplay, worth the money, btw if ur coming for a larger screen, you might feel it's a lil too small but honestly it's not rlly that small, so buy it, it's perfect."
Value-for-money,Battery will give good performance for a normal userI suggest another variant for heavy usersCam quality is good in day light conditions Performance is very good with A13 Bionic chipSmall in size and don’t expect a screen size like MI or one plus full screen mobiles
Highly recommended,Each and every Paisa you is worthyCamera section is a great upgrade Performance is a beastIt’s just a old design but still amazing design to hold in hand.I upgraded from old SE and satisfied to the core
Brilliant,So fast as light  classy premium look  at affordable price thank you flipkart for easy delivery
Highly recommended,Loved it!12 MP single camera does its job better than many flagship camera phones. Very compact and perfect for single hand use. Battery lasts at least one day for a normal use.
Fair,"Pros :-1. A-13 Bionic Chip....Beast in performance2. Best video camera phone under 50K3. Easy to hold, carry and one handed use4. RAM management is excellent5. Rear camera is good6. Output from speekers are too goodCons :-1. Worst battery performance...4 hours hardly on a single charge2. Still you get 5W charger in the box... While phone's cost around 42.5k...but phone does support 18w fast charging..3. No night mode available4. Design is too old5. Frot camera is not up to the ..."
Must buy!,Best camera phone Image processing is best Best display and battery life is also best Best processor Overall best phone U can look after images also
Nice product,"It’s a beast in performance, only thing that I didn’t like is it lacks night mode for low light photography. Battery backup is quite average only light to medium users can live with it, not meant for heavy users. It can handle each and every task very easily. Doesn’t break a sweat no matter what you throw at it, whether a heavy gameplay or exporting/rendering of heavy videos. Fits perfectly in pocket as well as in hand. I’ve been using it for more than 9 months. It is really a great device if..."
Perfect product!,"Speed is Awesome , high quality Camera with portrait mode , more handy than big screen mobiles, Premium look & design , sound quality is boom , very happy After purchase this"
Perfect product!,"This Phone is Simply Brilliant.The fastest mobile processor from Apple, A13 bionic chip can tackle any task without breaking a sweat. The CLASSIC Design is the reason to buy this phone as it is so easy for one hand operation. Camera performance and Battery backup has been improved significantly over the predecessor. Definetely a Value for your Buck."
Worth every penny,Best model if you wish to enter the Apple ecosystem. Flawless product and seamless experience. I love this phone.
Best in the market!,"Hey iPhone lovers. If you like small phone you'll love it. A13 performed like a beast. Performance is top notch. If your budget tight, then go for it. You never disappoint after use it. And Apple iPhone security is best."
Terrible product,It’s not good product ...it’s cost is more quality is not good every time is hangout..battery consumption is more at least half day also not get in ...finally my best suggestion is choose another one...
Terrific purchase,Excellent phone from Apple... Almost same like iPhone 7 and 8 with latest processor. I can feel the speed very much compared to the iPhone 6s. It’s awesome budget phone from iPhone family.
Simply awesome,It's a good phone for who like handy phones. But when its come to battery backup it's a worst thing. Performance of the phone is good
Pretty good,The phone is amazing according to me.. just some cons r the battery life and the big bezels .. the small phone is all I needed .. and it feels so much secure in one hand.. i needed exactly this type of phone which i can use one handed and have the beast like performance.. previously i was using a 5 inch phone Nokia 3 so the shift according to size is giving the same feel.. one thing that bothering me is the keyboard… even its approx the same size phone but keyboard is too tight to type.. it w...
Wonderful,"Performance is top notch, battery is full day easily after disabling background app Refresh ( it doesn’t effect any functionality) and some other tweaks. Camera is fantastic overall value for money if you get this in offer."
Very Good,"Amazing phone, loved it, only issue is gets hot too much and too early. Otherwise a very good buy"
Worth every penny,Amazing phone with beast performance and super value for money if you wanna be in apple eco system this is great device for you.
Super!,"This is good phone for someone who never used iphone yet but of someone using/used any one of iphone 6 , 7 and/or 8 then there is no much difference between the features except performance. With the provided features the price is too high for this phone. If someone is looking for upgrading then I would strongly suggest you to go for iPhone XS or later versions. This is completely my own opinion and please read other reviews as well before making a decision to purchase this product."
Brilliant,For ppl who prefer small displays this is the ryt choice neat n clean  top notch performance ......FOR THOSE WHO R CONCERNED ABOUT BATTERY This has 1821mAh battery but combined with a13 chip efficency is top notch . Use 10W charger which comes with ipad or buy separately within 45 mins phone charger from 0-80% The 5w included in box is waste good for nothing. Switch off optimised battery charging under battery health settings so 80-100% will b charged quickly.I use social media apps l...
Great product,"Excellent phone , flawless performance The massive upgrade for the user who are using the iphone SE ( 1 gen) just like me"
Wonderful,"Well, the phone is small and looks nice. It's not for people who loves bigger ones. It's basically for those people who don't use their phones for everything.It's fast.design is cool, sleek and beautiful. You will need a back cover for sure if you want to keep up it's beauty. P:)battery life - not so good. voice clarity is fine.I am not a gamer neither a photographer.Basically it;s a premium phone under budget so that you can say it loud - "" Hey! I own an Apple device"". If somebody is ..."
Wonderful,"Like It, Apple SE very nice and handy mobile, we can use it by single hand, like it too much if you are going single handy mobile you can go with Apple SE 2020 without any hesitation."
Brilliant,"Very handy and comfortable to hold. Best phone to buy if you want sleek design, powerfull processor, beautiful camera and that's fits in your pocket. I didn't hesitate while buying this phone instead of oneplus 8. Afterall its your choice whether you want a phone or a tab sized phone.P.S.- it's not that small."
Just wow!,"I switched from iPhone 8 to iPhone SE instead of going for iPhone 11 since SE comes with same power and great camera with a device size I can easily use and hold in my single hand. I got this delivered within one day of being available in India and it’s just great. I am a big fan of iOS and I’m deep into the Apple ecosystem with my iPad, MacBook, AirPods and an old iPod and I’m not disappointed here too. To those of you who are wondering how is it different from iPhone 8 since it practically ..."
Good choice,"ProsClassy performance , sensitive touch , good sound quality , beautiful design , compact and comfortable,Good quality Camera, Battery backup is normal.ConsPhone is overheating this is something not expected from APPLE Bit disappointing.Selfi photo click flips automatically so sometimes photos are weird. Wish there is a setting not to flip before foto click."
Great product,Honestly best package from apple. Super handy. I don't like big phones. This phone is perfect for me and would definately recommend to everybody. If you compare antutu and geekbench scores with of iphone 11; this easily beats the iphone 11.
Good choice,SE IS GOOD MOBILE and camera result is best my first apple mobile but very good like better android and other device. U have apple so don’t need to camera
Great product,13 MP Back Camera More Better than 64mp camera phone's and 7MP Front Camera Same as that.1845 Mah Batter then any other 5000 mah Smartphones Batterymost precious part The Bionic13 Chipset in this price range just Awesome
Super!Little Champ is here!,"In one word its Superb, Ignore negetive comments regarding Battery life,Its stays easyly a day for Ofiicial work Purpose.Build quality,Camera,Speaker Out put(Earpiece and Phone speaker)is top notch and apple airpod is just cherry on top..i have switched from 6 inch display to this phone not at all any issue.super smooth ios a big thumps up! overall its a fantastic gadget."
Excellent,"Wanted a small iPhone with home button specifically,, this isn’t small at all!! Great handy phone with amazing camera settings.. Thank you Steve!!"
Good quality product,"The Phone makes it a good compact phone to kick start you ios Experience. This being my second iphone after the 6S+ and this phone just being my secondary phone it has the solid reliability which i want. The battery standby is good but if a person in considering to use this phone as a primary device the battery wont last for the full day sadly. The performance is brilliant, no lags in the phone and camera is pretty solid in 2021 and can definitely see the camera hold up pretty good for anothe..."
Must buy!,"Trust me its best phone under 30k or 40k , i bought it for 25k and i am sooo happy with it."
Very Good,Canara quality is good Performance is awesome Excellent for gaming but small screen And battery performance is not much good Totally product is nice I loved it 🥰🥰🥰😍😍
Fabulous!,"Best iPhone in this price range.It can do almost everything an iPhone 11 can do and will get long support for iOS updates.Battery life is very good very few people know how to optimise the iOS according to their needs for battery usage. So I get easily a day of use, many people say heavy usage consumes battery life that's true for any smartphone even iPhone 11."
Perfecto !,"1 Week after using the phone I am Simply Loving it!I did a lot of research and was confused in Iphone XR, SE 2020 and One plus 8If you are Ok with older design/big bezels or looking for GREAT Camera in budget phone or moving from Android to IOS, this phone is best for you.Camera(Portrait in selfie mode), Build quality, A13 Bionic Chip, Compact design, latest OS(software support for at least 4 years) is simply Bang On!Downs :Night mode Camera quality is not good.Battery is not the best..."
Great product,"Writing this review after almost 3 months of usage. This is my first iPhone I got this delivered on 1st October 2021. The packaging was good. Coming to the device, I’m currently running iOS 15.2PROS :1) Superb build quality 2) Touch ID is blazing fast 3) Camera is very good, especially for videos4) Signal reception very good5) Earpiece volume for call is one of the loudest I have seen 6) Wi-Fi calling support with Airtel, Jio and Vodafone Idea (Tried in Mumbai and Maharashtra circl..."
Really Nice,"It's easy to hold, looks good but slippery one. Performance is good. Battery is below average. If you turn off mobile data and use wifi then battery goes little more time. Back camera good in day light only. Front camera just ok ok. Someone who only use for mail, chat then its ok. Better go for iphone 11."
Great product,"Amazing Performance. If you are upgrading from an android, don't expect the battery life to be better. But if you upgrading from an Iphone 6, 7 or maybe 8, you will feel the difference. You can experience the speed with the A13 Bionic Chip. Camera Quality has improved. The best part is it's price. In this price you are getting a compact Iphone 11 Pro.If you are looking to own an Iphone, you should 100% go for this."
Good quality product,First of all let me tell you I am an Android user from years and still love it. The purpose to buy an iPhone was to switch for a new eco system and to experience it. It’s been only 4 days of using this device and here are my initial impressions. Pros:Fits in the budget.Handy device.Camera and display are awesome.Good network connectivity.Latest iOS update.Great build quality ( its glass back so be carefull )Performance is great.Can handle almost everything.And yes it’s an iPhone!Co...
Simply awesome,"Breathtaking. Smooth Performance. Amazing Camera and video performance. Dual Sim. Smooth Networks. Ideal for first time Android users, who are doing the switch. Battery Backup is decent. Will last for a day, for a moderate user. Buy it for the A13 Bionic. You won't regret."
Really Nice,"Good for normal use like browsing and not recommended for gaming because of small screen size,overall a good product from apple."
Classy product,It is a very good device. You will feel how premium is it whenever you hold in your hand. It is very nice to hold. And size is just perfect! Above all it has the best camera. See the attached picture which I clicked in the evening.You should go for the red one!
Great product,"Firstly you all need to understand there is a crowd in this Huge Market for whom the ONLY THING WHICH MATTERS IS COMPACT SIZE. And probably phone companies are unable to understand this consumer behaviour. This market was not catered by any other company except to an extent by Google Pixel. Please remember each and every consumer who buys this phone is buying Primarily for its compact size. The dimensions are amazing, which overrides any other shortfall of the device such as battery, Screen s..."
Super!,"First of all thank u apple for making such good phone.Guys this phone is Powerhouse with best processor.Camera is too good in light, I mean best, but don’t expect great pics in night. Battery life is good according to size and display of phone, keep one fast charger with u and forget about battery issue because there is no issue with battery if u are not a hardcore gamer. It gives u full day with battery with moderate use. Charging in 30 minutes with 12 watt charger is 50 to 60%. I guess v..."
Terrific,"I have been an android user since the beginning! I have used phones like poco f1 which had the flagship chips at their time but honestly speaking the performance on this device is just out of the competition! I was very skeptical by some bad reviews on internet, but to my very frank opinion it exceeded my expectations! Some things to keep in mind :*This phone has not so big display and only supports upto 720p videos on YouTube, so if you watch YouTube all day and love big screens it’s not th..."
Wonderful,"Awesome. As always its iPhone all the way,be it ip13 or SE2. The name says it all. Smooth like a butter. No lag whatsoever. Proud to own a new iPhone at the price of refurbished ones. Wow. Thanks Flipkart! You did it. Camera is awesome, even in pitch darkness. The only Con is battery which is way too less in capacity and duration. But, hey, that’s also the plus point here. You can charge it fast to fill using 15w charger. Support to wireless charging is the icing on the cake, despite a bit to..."
Brilliant,"I was aware of that this is a fantastic phone except the battary life before purchase. But I have specific use case as follows 1. I use it as business phone with lots of phone calls during a day. 2. I do not have social media presence. Even the whatsapp is not installed. (I have whatsapp on second phone which I keep it at home and it works on home wifi). I only use imessage for close family members.3. It has all my business outlook email, calender, notes, Gmail is configured to inbuilt app..."
Great product,Best product but apple could have launched it in very less price.Screensjze comparatively smallBeterry performance satisfactory Camera extra ordinarily Sensors and apps way fast and results jn blink Buy if price around 25 max
Terrific purchase,"Fantastic phone, in a beautiful form factor, handy, ergonomic and power packed device. Please do not go by the reviews of ""PUBG chipmunks"", who are looking for a device for gaming purposes. This is the perfect phone for no non sense every day users, who would like to make calls,browse the internet, use mail clients and do social networking."
Mind-blowing purchase,"I have been using iphones for a long time iPhone 4s - iphone 5s - iphone 6s , So when time came to change, I had to chose between iphone11 and iphone SE2020.Now I chose SE2020 and I am happy with the purchase.Main reason for choosing SE2020 was the latest CPU and fingerprint scanner.I am not comfortable with Face ID .The Phone Size seems small but for someone used to iphone 6S, it seems the same !!Don't want to admit this but well, I would have loved to get iphone 11 but then 20k i..."
Pretty good,"Well what can u expect from a 30k iPhone. Normal battery, nice camera but don’t go for se if you’re just going for camera cuz even if it performs well, you’ll see how it fares in low light and the front camera oh the front camera. It’s not bad but it’s not good either. Or is it just me? Cuz I see mine a lil bit grainy and not like super clear. I know it’s just 7mp but well. I compared it with an 11 and a 12. Let’s just say big bros gave it a beating. Overall good phone. But small screen and b..."
Really Nice,"Great performance, battery life is good for compatible users who doesn’t play more games, Good display, handy phone to carry easily... loved it🤍🖤"
Great product,"One word, Outstanding!I’ve Samsung galaxy A70 and I turned off many of its services including animations so that it give me a all day battery life but this is not the case with this iPhone SE .It comes with just 1821 mah battery but trust me It gives 24hr battery backup which includes 4.5hr on screen time. Mostly I use my phone for WhatsApp, insta, news articles, YouTube music and puzzle games when I got time.It’s display is good, looks like OLED one (but it is not)."
Simply awesome,"Really happy with this device, have come from an iPhone 5S so a significant upgrade in features/performance etc. It might be a little small for some but it ...Excellent Phone at a Great Price - But With Some Shortcomings..."
Delightful,Firstly i got this phone for 24.5k so i would say it was a good bargain for me to get my first iphone . Keeping this price in kind the performance of this phone is just awesome . I am not much of a person who consumes lot of video content for me its a device which does its jobs very nicely . Battery is bad for any average user but since i use it mostly for calls texts and some banking apps it serves the purpose. This phone is for people who dont much of their time on phone and want a compact ...
Really Nice,This is beautiful device which contain iconic A13 bionic chip. Chip makes this little device beast. I also enjoy six months Apple Music and Apple TV one year subscription free.Pocket friendly device both in terms of money and size.
Simply awesome,"Best compact phone ,camera is excellent Battery is average Display is very nice Performance is a power house🔥🔥🔥"
Nice,"It's not the phone that has an issue, it's flipkart. I ordered this phone on 31st of July and promised date was 4th August. But I got the phone on 6th August. Doesn't sound like much of a delay but it becomes a lot when u have a flight coming close and flipkart says your product will be delivered before 10th August. Like I could see clearly the phone is close to me (has reached my nearest hub). Now coming to the phone the display could've been better considering the price, but it's not a bumm..."
Fabulous!,"Was never a great birthday gift for spouse. Power pack device. A13 brings life to whole performance. Except screen size and camera, performance wise it's a comparable and affordable device in comparison with 11 pro. Camera too works way better than comparable 12MP devices.  Battery lasts full day for normal usage including couple hours of youtube videos. Great work Apple."
